Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Class
3.3436,10.6248,3.2076,5.1323,1.3996,-0.3392,0.7741,4.0795,2.5935,1.5656,2.5386,1.564,0.6145,1 
0.2042,10.2966,1.9585,2.121,2.3881,2.1506,2.7321,1.7492,3.0899,1.8738,1.9623,3.0662,0.8435,1 
2.5694,9.8452,0.1451,2.8516,2.6177,1.125,1.5298,3.2536,2.2399,1.1475,2.7065,2.537,0.8992,1 
2.0087,10.0623,1.7034,1.718,2.2357,4.0339,1.5975,2.0866,1.8239,0.6213,2.5776,2.3076,2.8939,1 
2.101,11.0235,2.3709,2.8534,2.3375,1.3338,2.1777,0.8325,1.7607,-0.262,1.384,2.7922,0.7721,1 
2.0046,10.7729,3.825,0.2033,3.1511,3.0236,1.9195,0.6599,2.3157,0.7622,2.2665,1.7677,3.397,1 
1.0753,7.8263,0.6639,-0.0364,1.1442,2.2155,3.9614,2.0847,2.1469,1.744,1.4228,1.669,3.5698,1 
1.7716,11.2853,3.2092,0.6895,2.0379,1.4518,1.1494,2.7804,1.2315,2.6507,0.9904,1.652,-0.2878,1 
0.9298,10.5283,2.183,0.3437,0.4288,2.2906,2.3345,2.8594,0.3687,1.5542,1.8287,3.7726,3.238,1 
1.4108,9.2351,1.6682,1.1023,3.056,2.1109,3.4304,2.9798,3.3806,0.8001,1.5512,3.2793,1.2349,1 
2.4496,8.8247,4.0378,3.3939,1.817,1.7958,1.4263,1.2285,1.7892,2.1804,3.6318,1.2444,0.9713,1 
1.6764,9.1466,-0.4034,1.7632,2.3419,1.3878,2.8266,1.6236,2.2884,1.7076,1.5589,0.9398,2.9009,1 
3.5618,8.5205,1.4208,2.3972,1.3187,0.5703,3.4783,0.2964,3.7149,0.2942,1.5003,2.4616,0.5866,1 
2.5485,9.0048,0.9221,1.3121,3.9435,2.1193,2.8958,1.1428,3.2562,1.9164,0.5564,2.3971,3.0209,1 
2.3227,11.9199,1.1004,2.0135,1.4887,2.5221,2.9025,2.2048,0.4077,3.5233,0.3924,2.712,2.1093,1 
1.7772,10.6796,2.079,1.9177,2.8526,1.2827,3.0926,2.4772,1.082,2.1999,0.2269,0.5516,1.0401,1 
0.0572,10.0179,4.7714,1.8164,1.5727,2.1636,1.3522,3.3234,2.8299,1.5761,3.1517,1.2128,0.0645,1 
1.7136,11.0486,3.4795,2.1389,2.1208,2.7943,2.5208,2.2084,2.3078,2.0127,1.2269,1.6255,1.0033,1 
3.6101,8.8341,1.304,1.828,3.7174,2.1944,0.9749,3.5897,1.5409,2.391,1.496,2.7845,3.1992,1 
1.2856,9.7713,1.2339,1.7516,1.7386,2.61,3.7334,2.7388,1.8151,0.6036,3.9859,2.7674,1.6101,1 
3.1377,9.9738,0.3022,1.8014,1.3617,3.1684,2.4184,3.413,2.0819,2.2517,-0.0426,0.9773,0.752,1 
1.099,11.4124,1.3802,2.3328,2.5997,1.8835,1.8289,3.2807,3.9533,2.6566,0.9843,1.7731,1.7213,1 
1.0047,9.201,0.3834,2.3876,2.2251,2.8801,-0.1092,1.213,-0.1232,1.0589,0.2674,1.4785,1.7938,1 
3.405,11.0902,1.2648,2.9723,2.9456,1.7752,0.9061,2.3196,0.2546,1.4568,2.6586,1.2194,2.2005,1 
2.9242,10.4586,1.0716,2.0989,2.4601,4.4657,1.6302,2.3759,0.0293,-0.3067,1.5258,2.8705,1.0764,1 
2.1383,9.1259,0.6478,1.2234,2.7538,0.8309,2.5605,1.4336,0.638,1.1629,2.7934,0.7375,0.48,1 
2.0145,10.8425,2.6705,4.003,2.1491,1.2054,4.4852,2.1672,0.9468,2.2862,1.6676,2.0085,3.6906,1 
2.8282,9.3386,-0.9666,1.0576,1.166,4.2349,1.3376,1.6758,2.3436,3.8346,2.7966,0.8308,2.3936,1 
2.0814,8.8584,1.6533,1.8149,1.6261,3.2372,1.6035,0.5402,1.4965,2.7559,-0.5818,1.9828,0.1863,1 
1.9068,10.6781,2.7654,1.7201,1.2595,0.8265,2.4028,2.661,3.544,2.0498,1.1493,-0.4695,2.1893,1 
1.3874,8.4511,2.4855,3.3261,1.9706,2.3544,1.5144,1.7508,1.446,3.6939,2.8662,2.7898,2.2495,1 
3.8032,10.1339,1.3294,1.9488,2.3106,2.2643,1.0027,3.9036,2.9314,1.9965,4.2479,3.9528,2.4926,1 
1.0708,11.0995,3.5292,1.0158,2.5971,4.1513,0.9219,2.2786,4.8409,0.0222,3.266,1.088,0.525,1 
2.0747,10.882,2.7979,1.5401,-0.129,0.1843,1.5925,1.5859,1.6737,2.4133,3.3454,1.2368,0.8515,1 
2.9045,8.9644,2.3198,2.5774,0.9837,2.2446,2.5257,2.0471,4.5492,1.1304,3.159,2.5187,2.0315,1 
1.2666,10.6603,1.8913,1.4926,2.8982,0.3947,1.7702,2.6958,1.6958,1.4107,3.1955,0.8668,1.8834,1 
0.7801,10.1844,2.5555,2.7866,-0.1769,0.1847,2.5531,0.3278,3.4016,2.5732,3.77,1.3729,1.3789,1 
2.6484,9.2963,1.1311,1.4122,4.0454,0.1806,1.2054,1.437,0.5659,1.7162,2.368,1.61,1.3791,1 
2.9442,9.905,3.2357,2.0538,2.6595,0.9396,1.304,2.0097,0.9561,1.6307,1.4421,3.1703,4.0884,1 
1.4929,10.044,2.6775,3.2563,0.9926,1.8584,3.952,1.8633,1.3606,3.1716,2.683,3.3905,2.7816,1 
0.6174,7.5474,1.1084,0.7099,1.9407,0.8084,0.7691,1.9687,1.4623,2.1668,5.1768,3.3266,1.8051,1 
2.7524,9.6598,1.7997,2.8071,3.0781,1.832,1.7494,1.733,1.6683,1.5659,3.8561,1.8748,3.5637,1 
1.4589,11.3915,2.2212,4.7584,2.4982,1.6335,3.6395,3.6183,0.7825,1.4258,3.1969,2.3278,3.0459,1 
2.6482,10.646,1.4906,2.501,3.4506,1.0785,2.5689,3.3004,2.4038,0.5397,1.5453,3.1089,1.8089,1 
1.2222,10.011,2.2539,2.4258,2.2997,1.6672,0.9363,2.1186,3.5829,1.9547,1.138,2.8378,4.3934,1 
1.8473,9.851,0.5356,2.1658,2.2107,1.1969,1.2002,2.6174,0.9141,1.7399,1.4495,2.0862,2.9337,1 
0.801,11.2927,4.9275,1.2306,3.5387,0.8215,1.8344,1.3319,2.6114,1.6438,2.6243,2.7678,1.9638,1 
1.0391,8.814,1.757,1.0262,2.0696,0.7813,1.5181,0.6273,0.4994,0.4884,0.6259,1.8044,-0.7365,1 
1.5542,10.1086,1.9876,2.7254,0.8382,1.8547,4.1259,0.792,1.7583,2.9287,2.7423,1.3712,1.6608,1 
1.8695,10.2364,2.4263,0.656,1.0606,1.0628,1.0683,1.536,2.6803,2.1691,1.3793,0.6919,2.9466,1 
1.5962,10.448,1.9265,2.1198,1.0244,1.5725,2.5225,1.1394,2.1111,2.4565,0.7223,3.9422,1.7468,1 
1.3177,10.808,2.6264,1.607,2.7164,2.4098,1.2034,2.1766,1.7441,1.1156,0.4575,1.0281,1.6157,1 
0.1305,10.0274,0.3514,1.9095,1.1935,0.3512,2.7605,1.5209,2.8269,0.4587,2.4459,2.5074,2.7732,1 
1.3161,10.4432,1.2886,2.5815,0.8898,2.8564,3.3977,0.9316,0.3124,0.4396,1.8893,1.674,2.0653,1 
2.1484,10.6058,0.3914,2.3847,4.2229,1.9243,1.9243,2.5685,2.684,3.395,3.5728,4.1323,3.0608,1 
2.673,10.4041,-0.3116,2.0492,1.1905,0.6531,1.4359,2.4236,3.5265,1.7662,3.544,1.3731,1.6738,1 
2.6269,10.8616,2.0264,0.7142,2.6979,1.5294,1.9601,3.6445,2.1948,2.3445,3.7711,2.7565,-0.2494,1 
1.7731,8.9165,1.5265,2.0895,2.0236,3.1741,2.5176,1.2233,0.9947,2.0641,1.8964,3.0737,2.2581,1 
0.9355,9.7355,1.599,2.3843,3.5724,1.1986,2.0323,2.1759,4.6354,2.6936,2.6494,4.6214,3.6559,1 
0.2785,9.6378,1.3429,1.9439,0.6269,1.3794,0.9281,1.1093,2.2856,3.7013,3.0164,1.3946,1.4223,1 
2.3829,10.1405,3.7143,2.4259,0.6303,3.5943,3.1723,1.8382,0.7307,-0.2257,2.4751,3.0521,1.2785,1 
1.9758,10.7252,1.9928,1.5525,0.8047,2.6939,1.6152,0.6489,2.9419,1.9137,0.7395,2.2908,2.1028,1 
3.0709,10.0504,2.8498,2.5425,1.4981,1.4698,1.6943,1.2701,1.1004,2.6041,1.1354,3.6819,1.8595,1 
1.3438,8.2779,2.5345,0.7984,2.8947,-0.1008,2.3272,2.1372,1.2353,1.6272,1.074,1.7951,1.8979,1 
2.7022,10.6607,3.3385,3.7071,2.8617,1.7041,2.5516,2.2413,1.6866,2.1565,1.7199,2.9528,1.9368,1 
1.4065,12.1883,1.6362,3.0112,1.8933,2.5493,1.9018,1.8021,0.4851,3.5168,2.1647,2.9556,3.7566,1 
1.9863,11.0769,2.4208,2.3812,1.9776,-0.8582,2.953,0.7713,2.806,0.6639,1.1872,0.2586,2.6011,1 
3.7029,9.4017,1.4942,1.931,1.6212,2.6114,2.8054,2.4865,2.3925,2.4463,2.5649,2.4565,1.2536,1 
0.8873,9.9075,2.5684,2.3075,2.1446,0.623,2.3421,1.7347,3.5652,1.5971,1.6389,-0.0669,2.6388,1 
0.9904,10.5301,0.5293,1.9999,2.3819,1.5386,1.8345,2.2875,1.1001,3.2272,3.4321,2.8418,3.7464,1 
2.4464,12.6663,1.9783,2.0052,2.9192,2.1673,3.4188,3.1396,1.3508,1.6878,1.82,3.4076,2.3631,1 
2.1429,9.0377,2.2128,1.6856,0.9089,1.7856,0.8933,1.6641,2.8484,0.5172,1.7929,2.5873,0.9507,1 
2.0452,11.6161,1.4389,3.1729,3.8705,2.3678,2.3126,0.5468,-0.4323,2.4202,3.2615,2.4639,2.1203,1 
0.6238,10.4363,1.0745,1.3302,2.7887,1.0089,3.0541,-0.2255,0.0181,1.2208,0.3379,2.8592,3.0371,1 
1.6188,9.6549,2.1945,1.1344,1.0621,2.5524,4.2426,1.9029,1.4415,1.0313,3.6637,3.6245,3.9494,1 
0.9579,9.5024,2.6596,1.6838,1.9247,3.5727,1.5538,1.7924,2.3668,1.2234,1.9915,2.0629,2.293,1 
4.3404,9.7764,4.3824,1.5385,2.5472,3.6904,2.0609,1.491,1.96,3.4236,2.2518,2.3337,2.0405,1 
2.0559,11.0019,1.7004,1.3417,1.1929,2.2225,3.219,1.7345,1.0297,2.1156,2.067,-0.7163,2.0232,1 
2.2781,9.5383,1.697,2.4858,1.3882,0.284,3.1077,2.232,3.3327,1.8586,1.1782,2.6813,2.9396,1 
3.0661,8.9629,2.3137,2.0264,1.0838,2.1359,0.8529,2.3079,2.9018,2.0193,1.4535,1.8239,1.4835,1 
1.5523,9.0731,0.4242,1.3539,1.2667,2.2932,1.7513,1.106,2.2977,2.1188,0.6438,1.1672,1.1159,1 
1.5081,10.3307,3.1027,1.6031,2.1271,3.0035,1.1403,1.6007,2.2139,1.154,0.93,2.4706,1.315,1 
2.9866,9.4269,2.4514,1.7569,0.4038,0.6371,2.6429,1.8577,1.4026,0.6461,1.5713,1.6132,1.397,1 
1.1448,11.2235,3.1845,1.5093,1.9501,0.9957,1.5762,2.0049,2.4178,3.4269,1.6393,2.557,1.8874,1 
1.187,10.6696,1.4671,2.6612,1.8724,1.9407,2.9001,0.7639,3.1254,3.1169,3.0616,2.4809,2.3324,1 
2.6249,9.5724,2.5354,0.7639,1.7716,3.1508,3.799,1.187,1.8736,1.939,1.6403,2.341,2.7049,1 
2.2557,8.6949,3.0211,3.596,2.3013,1.5925,2.8484,1.1831,3.4656,3.1551,1.2129,1.4511,0.88,1 
3.8752,11.24,0.2874,2.1764,1.9361,2.0472,2.6253,-0.3005,2.6056,1.4898,1.2201,2.4142,1.3759,1 
1.9179,10.1092,1.9706,0.8255,2.7539,1.3855,3.6929,1.449,2.0654,1.3542,3.6302,1.4911,1.962,1 
2.9583,9.141,2.2664,1.9325,2.5207,1.8889,0.6759,2.0822,3.2431,1.2321,2.5223,2.7323,3.7605,1 
0.7095,10.5867,2.3786,2.8388,0.9805,2.2809,0.7356,-0.0343,2.2764,1.9628,1.4134,0.2027,1.2989,1 
1.6769,11.2523,1.9603,3.6144,2.6139,3.5413,1.4569,1.3708,2.3786,1.8633,3.5595,1.9921,1.8428,1 
1.662,10.2029,3.563,1.7184,3.1611,2.5076,1.4994,1.1395,2.6602,2.3883,1.5081,2.9309,1.2931,1 
2.5157,9.0691,2.1507,1.8911,2.6082,1.9398,0.8794,4.0191,1.6401,2.1096,1.7827,3.5765,0.9433,1 
1.1635,10.7392,0.5653,2.4786,4.9906,2.3673,1.37,2.3249,2.6484,3.5791,2.5656,0.6666,2.4672,1 
2.7955,10.1295,2.7729,4.4597,3.7984,3.6244,0.439,2.3559,2.1724,0.9404,1.3794,2.4086,2.4984,1 
1.9205,10.3709,0.8192,1.8243,0.9737,2.6128,2.3268,1.4313,2.0603,1.629,0.9883,2.2103,1.7828,1 
3.0584,11.4644,3.1052,3.3798,2.0407,0.1953,1.9925,2.6992,2.6302,3.276,1.9304,2.1515,1.5672,1 
0.8946,9.0121,1.1719,1.5886,0.2691,1.228,1.9047,2.4603,2.951,0.88,1.6016,1.7713,2.828,1 
2.777,11.0757,2.3097,2.8688,2.1954,2.8272,2.8306,1.905,2.0478,0.9255,2.6997,3.2026,1.2235,1 
2.9948,9.6519,2.4797,2.0183,1.93,0.4937,2.8242,2.2584,1.6901,1.8624,0.9037,2.6026,2.3627,1 
2.8714,10.1985,3.4936,2.1297,2.9474,1.22,4.2443,3.0616,2.2993,2.8725,1.9861,0.4683,2.6635,1 
4.8033,11.9168,1.6111,0.8866,2.6747,2.3249,2.9116,3.7202,1.0829,1.6842,0.9454,1.3333,1.4429,1 
2.6277,10.9961,2.3745,3.0928,0.3334,3.3432,2.0767,2.3374,2.4884,0.5847,1.5999,1.7422,2.8644,1 
0.2498,9.277,1.9298,2.4019,3.1428,2.2715,2.5316,2.2642,2.1152,2.6023,1.5416,3.0152,2.306,1 
2.7485,11.133,2.0591,0.4994,2.4749,1.8682,1.4667,3.3017,2.0791,2.5475,2.1381,2.1572,2.7217,1 
1.9023,10.1079,2.9046,1.8366,0.7224,2.9602,2.8231,1.0142,2.5521,2.0253,1.1199,2.1825,2.1788,1 
1.9423,10.2259,0.284,1.6782,1.3954,2.4038,1.7414,2.0921,1.0099,2.8138,2.9985,3.1846,3.3352,1 
2.195,10.6002,0.0318,1.8991,2.0583,2.1014,1.8746,1.7711,3.874,2.2034,3.321,0.9543,1.791,1 
2.4924,11.1569,0.7727,2.146,1.4168,1.6962,1.3676,1.3482,3.0062,1.6127,1.6529,2.3734,2.3481,1 
1.7868,9.6706,1.3126,0.2668,3.2949,-0.0273,2.4437,1.8,4.1278,1.3053,1.3583,1.1213,3.3367,1 
0.7643,9.9302,1.5472,1.5271,2.1723,2.5688,2.7465,-0.3849,1.1703,0.2826,1.0169,3.3851,0.4711,1 
0.8365,9.8678,2.1432,0.5395,1.5306,1.8559,3.9303,2.199,2.6415,3.1344,2.6304,2.4008,0.7062,1 
0.1447,9.3586,2.299,2.9375,3.5908,2.2233,2.2589,1.6763,2.9355,2.3241,2.896,2.7978,2.6378,1 
0.8021,9.601,0.3849,2.4307,1.5643,1.4234,1.3416,1.5996,0.5496,1.7807,-0.0757,1.551,2.8518,1 
3.4667,8.7441,2.8338,2.1363,0.9375,0.6685,2.4166,1.7428,3.3539,1.9523,3.7954,1.2279,1.9456,1 
0.704,10.7516,1.2358,2.7369,3.7596,2.355,1.5714,1.8023,1.3286,1.6264,2.0471,1.9153,2.45,1 
3.7751,10.1608,0.6393,2.0622,2.2229,3.0242,1.8426,1.8476,2.7368,1.4121,4.644,2.6147,1.026,1 
2.6335,11.6892,0.6721,2.5156,0.974,1.4801,1.8186,1.9965,3.8109,1.6798,0.9453,3.4334,3.1644,1 
0.709,8.9164,2.5104,1.2034,1.6731,2.0208,2.0347,3.1372,1.6904,1.1878,1.4477,2.4504,0.8309,1 
2.8038,9.7517,1.8792,2.1751,4.0229,0.995,1.5512,3.9431,2.7111,3.3202,1.4664,0.2296,2.0893,1 
2.1391,10.4707,2.2854,2.574,1.6691,2.2454,0.8844,2.5326,1.1105,1.6249,2.1422,1.7811,1.6411,1 
1.4623,10.3437,0.7192,2.1652,4.159,3.1722,3.0117,3.3416,1.5772,2.2515,1.7005,0.3122,2.4675,1 
4.2748,11.778,1.3765,2.0733,1.4729,2.0546,2.2855,3.1063,3.0662,3.7163,1.1131,1.8029,2.1088,1 
0.9322,8.4014,2.553,2.0025,1.2446,0.6627,1.6957,3.8887,1.5165,0.7247,1.4104,2.1772,2.8474,1 
2.9733,11.9272,0.9748,0.6939,3.2923,1.1952,1.1277,2.5433,1.7388,2.8566,2.241,2.7875,2.15,1 
1.2875,9.4867,2.2527,0.881,2.2537,2.3204,2.1402,2.8081,0.966,3.1507,4.6846,1.9998,1.3782,1 
2.0215,12.0361,1.4757,0.0612,1.2416,1.0745,2.4927,2.0691,2.1611,0.7292,2.039,2.1164,0.73,1 
1.5977,9.7046,3.8317,2.018,0.9873,2.1539,2.0784,0.9665,1.2833,0.7236,2.1606,1.1496,-0.2144,1 
1.187,10.8617,3.1383,2.7017,3.7312,2.3007,2.2101,0.3638,2.701,3.0039,1.5083,0.3938,0.689,1 
3.4301,10.8376,1.8367,0.5769,0.0592,1.7478,0.8601,1.4712,2.6494,2.0414,2.8788,0.9543,2.6456,1 
1.9344,10.3715,2.7087,3.1895,1.3462,1.8707,2.3527,1.3625,2.5192,2.6752,0.685,2.4016,1.4695,1 
1.9652,9.8351,2.1988,-1.2131,1.1777,2.429,0.9351,-0.7156,2.6182,2.7615,0.4403,1.2971,2.0031,1 
1.2002,10.1768,1.4303,2.3865,3.3059,2.5498,2.2738,2.2379,2.7065,0.9539,3.1535,2.1064,0.7354,1 
2.968,11.0128,2.0077,2.4711,3.8653,0.3344,2.6301,2.5295,0.6105,0.03,2.2342,2.1046,0.5253,1 
1.2254,10.5478,3.7668,2.3293,1.5674,0.7114,2.5893,1.9077,2.266,3.0208,2.2081,2.0676,0.8634,1 
1.7078,9.8516,1.5772,4.1275,2.5158,2.7584,2.3944,2.5465,2.3302,3.6135,1.3291,3.1094,2.4772,1 
1.663,9.9497,1.1488,3.8681,1.5348,3.3859,2.5435,2.9625,2.3646,1.9537,2.289,4.2523,0.9833,1 
1.0146,10.7044,1.6761,1.7216,1.9847,0.9642,2.5606,1.8332,0.6367,1.272,1.7915,1.4036,2.7795,1 
1.6324,10.4822,2.1231,2.9165,1.8686,-0.2205,3.9802,0.5469,2.1461,0.9725,1.9746,1.9206,2.5858,1 
-0.5822,10.3099,3.132,2.018,2.2322,1.1243,0.5505,0.7597,1.6929,1.9128,2.6432,2.2398,1.4615,1 
1.6951,11.5618,2.5733,1.89,1.7491,1.8094,1.5403,2.3377,0.7476,2.2043,1.5913,2.1805,0.8609,1 
2.4461,9.5599,2.1662,2.7156,2.5056,2.4325,1.8911,3.0541,0.9719,2.694,2.381,3.32,2.3753,1 
0.7903,10.6681,2.3658,1.5693,2.0858,1.0384,1.8529,1.3128,2.6738,1.4061,2.5988,2.0283,1.6624,1 
1.9893,11.6819,1.171,3.8432,1.6585,-0.372,2.1706,2.0295,1.1295,1.701,1.4794,0.7149,1.8743,1 
3.1875,10.6896,2.2554,1.3123,3.0573,1.8088,4.2851,2.2612,2.3235,3.7054,1.3058,1.5823,0.5764,1 
1.3147,10.3676,0.9367,1.2605,3.3983,0.6968,1.3271,2.031,1.2864,1.4762,0.6547,0.1903,3.2662,1 
1.1747,10.178,2.4463,0.9188,2.2384,1.7213,1.0102,2.238,-0.3926,0.6842,1.0601,0.5872,1.3023,1 
2.4296,11.9104,1.9697,1.2875,1.3957,3.3191,1.5935,2.4381,1.1343,3.4817,2.6215,2.5616,2.1141,1 
2.4285,10.5964,4.1937,2.2856,1.1617,3.2568,2.2318,1.6228,1.8923,3.3336,2.0595,2.2167,3.3812,1 
2.6741,9.8571,2.3153,3.7242,-0.7113,1.9751,1.7802,2.5168,2.2513,0.6776,2.7762,2.2979,0.933,1 
2.1073,10.0128,1.0489,4.7014,3.699,1.3088,0.8783,2.4983,1.0378,2.0648,1.8746,2.8019,1.6282,1 
1.3992,9.6533,1.4609,2.2582,0.8224,4.304,-0.3177,3.194,0.6888,1.7165,1.8009,0.8172,2.4534,1 
2.8443,10.1896,3.8235,0.7618,2.0493,3.1208,0.9807,3.0529,4.5288,1.1901,3.5543,2.5787,3.5839,1 
2.0417,8.4837,3.8958,4.5039,2.5465,2.3129,3.4728,2.9496,3.3742,1.7377,3.0279,0.0263,1.8523,1 
1.6812,10.1348,2.3421,3.7759,1.8575,2.7647,0.1542,2.2753,1.1774,2.0621,1.5188,1.1005,0.1705,1 
0.2647,9.6298,3.8753,2.0136,1.0454,1.5728,2.2466,1.4806,1.3986,0.8139,2.1331,1.9552,2.3034,1 
3.9492,9.1658,0.7637,1.0057,1.5152,2.9731,1.79,0.2711,0.9071,1.3499,3.0666,2.7837,0.924,1 
1.5795,9.9022,2.1897,1.3529,2.3367,1.5543,2.4325,1.3167,1.9248,1.8829,1.6375,2.119,3.292,1 
1.5981,9.7377,1.0533,2.6386,1.9266,0.8051,3.861,3.8164,3.4325,1.6705,1.7848,2.4271,1.9984,1 
3.472,9.5213,1.0613,1.398,0.6466,2.1294,1.7536,1.1632,2.269,2.52,2.3448,1.2902,1.4435,1 
1.1817,11.2422,0.1095,2.6871,2.3687,3.3859,1.0332,0.9846,3.3025,2.2517,2.3204,2.5583,1.8239,1 
3.1983,12.4867,1.1812,1.5589,2.9035,2.7745,1.9109,2.9427,1.8645,2.1428,3.0959,2.1228,1.5805,1 
1.4452,8.4672,3.3267,0.829,2.3687,4.3239,2.67,2.0397,2.028,2.9921,0.631,2.8292,2.7684,1 
2.2558,9.234,-0.1179,1.9908,1.4616,3.3235,0.7359,2.7415,1.3396,2.2823,1.4276,0.9147,1.1649,1 
2.6171,10.6706,1.0639,2.1115,2.602,0.9561,2.3848,2.0558,1.6515,0.6857,2.0423,3.5695,2.0711,1 
1.3822,10.7331,1.9843,2.9241,1.8414,2.1934,2.4988,1.1435,1.7088,1.8162,2.9436,2.9304,2.8257,1 
2.3165,10.3514,2.1697,0.5165,2.1122,1.7911,1.3664,1.4769,2.8896,2.0418,2.7692,3.1478,3.8366,1 
1.6368,10.9249,3.1573,2.3026,1.8531,2.3838,3.1709,3.6738,0.4262,1.8685,2.4511,2.5539,1.3869,1 
1.599,7.4821,3.0162,2.8184,2.733,1.9198,1.8857,1.5926,1.9058,3.2634,2.098,2.6302,1.8035,1 
2.6602,10.6874,1.3151,2.037,1.9645,2.1238,2.3145,1.8516,3.1179,1.0494,1.1597,1.6554,2.3745,1 
3.1976,10.931,2.6156,1.7015,3.5396,1.9939,2.9387,0.7433,2.3812,0.612,1.4654,2.4579,2.0918,1 
1.3572,10.2309,3.0969,2.4128,3.0526,0.2328,0.5326,2.166,2.6301,1.4064,1.3583,1.9585,0.4438,1 
1.821,10.3351,0.6218,1.4613,-0.0631,1.0381,0.3305,2.1644,1.466,1.8417,2.7115,3.9395,1.3834,1 
1.796,8.206,2.7784,3.0369,4.2083,1.804,3.8649,0.4403,1.4812,3.4753,0.4752,3.8602,0.2661,1 
1.1519,11.6001,2.5111,3.0617,2.2785,1.6633,1.1579,0.9243,0.8944,1.7349,1.1894,2.7764,2.4946,1 
3.1795,10.4617,1.1916,2.3249,4.4602,1.1955,1.5162,2.3151,1.617,1.67,2.2285,4.4126,1.1364,1 
1.4866,10.5991,2.7778,2.3304,3.3836,1.1495,1.8113,1.1175,0.5481,2.8914,2.5536,2.0215,1.9467,1 
1.5759,11.0191,2.5539,1.2147,2.4279,1.0725,2.995,0.2316,0.1839,2.8839,3.8161,0.1773,2.9065,1 
1.5317,11.4671,2.3448,1.1099,3.01,2.9828,1.8654,2.4753,1.8276,1.8774,2.9644,3.0439,-0.2496,1 
0.5263,10.9571,1.9852,2.1282,2.2825,3.1161,3.2117,3.5433,4.0156,1.2921,3.0168,2.9601,0.8622,1 
3.1144,10.3657,1.1067,2.6577,2.0588,2.4125,2.203,2.6167,3.0321,2.1536,3.1072,2.3891,4.5844,1 
3.8261,8.4795,1.2303,2.3109,3.4409,2.601,3.4346,2.5642,2.5236,2.1676,2.6316,0.7113,1.5531,1 
1.7911,10.3756,1.2369,2.0221,4.0778,3.5243,1.8191,2.9675,2.0195,2.3394,2.7147,2.5254,2.0122,1 
1.3491,10.5846,1.9338,2.8345,0.848,1.0166,1.4094,1.7459,1.7311,2.6829,1.5895,3.1538,1.9982,1 
2.352,9.595,1.0511,0.4747,2.0021,0.9676,3.756,1.9984,2.0514,2.5833,3.3093,4.4049,1.0236,1 
2.7692,10.1727,0.659,0.9302,1.9651,2.8373,1.7114,2.0042,2.091,1.7824,1.7151,1.9941,2.7085,1 
1.9467,8.29,1.9689,1.3384,2.5147,2.074,0.6719,2.4307,3.9099,2.6533,2.584,1.1706,3.7831,1 
2.2908,9.8857,3.965,2.1537,1.6793,2.2403,1.867,3.342,0.4877,2.615,3.7223,2.6982,1.2964,1 
0.5275,8.2178,1.3465,2.9928,2.0757,2.6278,1.0824,0.8593,1.8529,2.2567,2.7422,1.8708,4.4411,1 
2.6705,8.8111,1.8506,2.8159,3.6807,1.1639,-0.5685,3.6178,2.0964,0.8029,1.5176,3.1974,2.8743,1 
