Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Class
2.5789,-2.6475,3.4397,3.1748,1.1773,3.1845,3.4282,1.2101,1.6166,4.1357,1.8842,3.1514,1.9979,2.4651,2.0688,1 
2.7466,0.5129,1.9976,1.1194,2.753,3.2886,1.8589,0.0948,0.3407,2.0186,2.8636,2.4125,3.2285,1.8587,0.9257,1 
5.8224,2.4555,3.3336,0.9502,1.7646,1.0198,2.8676,1.4294,2.3583,1.9895,1.9877,1.595,2.1598,2.5753,0.4092,1 
6.3597,-1.4669,0.7471,2.3008,2.2175,2.3813,1.2979,4.5832,2.0378,2.3924,0.1235,0.7216,1.589,0.8833,1.9512,1 
3.1369,-1.4945,0.9188,2.1564,0.9828,1.5956,0.8968,2.7292,2.7561,0.221,2.5566,3.0874,1.3701,2.1174,2.0731,1 
5.7002,2.2907,1.2,2.8639,1.598,1.0536,1.8565,2.5423,1.5006,2.4343,3.296,0.9124,2.945,0.5892,2.0247,1 
6.4589,-0.8868,2.4132,1.8756,1.0409,1.1112,2.4694,2.1899,3.2728,0.7825,-0.9227,1.4179,1.3901,1.4671,2.4592,1 
5.9548,0.2998,1.0778,2.978,0.9384,1.2098,2.8292,3.5337,2.3385,1.9086,4.0745,0.934,3.297,3.6026,1.6107,1 
6.0945,-2.0929,1.0766,2.0575,1.6674,0.3862,0.4178,0.7508,3.1347,3.6844,1.7151,2.3478,0.986,2.4867,1.5374,1 
5.4038,-1.9849,0.51,2.3112,1.9269,2.8527,1.7513,-0.2968,2.7942,3.3313,1.7204,2.5444,2.6183,3.6035,1.0893,1 
4.2295,0.1935,1.9881,0.3482,1.312,1.6839,0.7747,1.4726,0.0895,4.4212,1.8435,3.0523,0.513,0.6531,1.5388,1 
6.113,0.7038,-0.9313,2.6015,1.4175,1.9023,2.6694,2.3111,1.2476,0.4833,2.1905,1.096,2.5299,1.8891,2.4451,1 
4.6533,-0.435,1.7026,1.739,1.7733,2.1322,1.7824,3.5921,2.0432,2.0579,0.965,3.4011,1.6692,5.1011,3.6441,1 
3.1782,0.2922,0.6832,0.5243,1.5721,1.86,0.9408,-0.3722,2.4503,2.5202,3.2738,1.6928,1.42,1.1581,2.1553,1 
4.6418,-0.0636,2.0012,2.5065,2.4528,2.8338,1.3559,1.0246,2.1091,0.6284,4.287,2.2759,2.3944,3.6366,-0.2006,1 
5.9311,1.0075,1.8061,3.6299,2.8772,2.3804,2.3652,1.5633,1.7769,1.0761,0.5993,0.7314,1.889,1.6948,1.1285,1 
6.9013,1.5518,1.9488,1.6167,2.7421,2.3427,3.191,1.4681,1.7564,2.5826,1.2685,0.9798,2.1531,1.7994,2.3866,1 
5.2307,0.4334,2.0835,2.096,0.6055,2.7736,1.0255,4.0656,1.3998,1.4435,1.5101,1.2179,2.7053,2.9053,2.9174,1 
6.3809,0.3466,1.5317,3.7237,2.2102,2.5,1.715,0.8062,2.8451,1.7222,2.1053,1.9785,1.4057,3.2121,2.7154,1 
4.4683,-0.724,1.8261,0.7411,3.1148,2.5122,2.0674,2.3758,1.8819,3.0459,-0.4508,1.9588,2.096,1.902,3.9187,1 
5.9791,1.2397,2.3508,3.359,3.334,0.8648,0.6663,1.6179,1.488,1.8422,2.7185,2.2236,0.0085,2.0141,2.8734,1 
4.261,1.4954,2.0163,0.985,2.184,1.8744,2.5216,0.2784,-0.7194,0.2702,0.9472,0.1035,3.9113,1.5285,1.5641,1 
4.3534,-1.2489,3.8488,2.4533,0.8433,2.3295,1.9564,2.4287,1.9062,2.9253,1.784,2.4389,2.2131,1.4082,1.8369,1 
3.7767,-0.1087,2.5849,2.5807,1.6953,2.4369,2.3263,3.5005,1.6206,2.664,2.0918,2.0734,1.1152,2.0625,3.4184,1 
6.0115,-1.3665,0.1811,1.9292,3.4593,1.9037,2.6512,-0.4273,0.6874,1.8393,2.0549,3.2117,0.4367,1.8388,2.2835,1 
5.3191,1.2049,2.0711,2.5467,1.3854,3.155,3.0926,2.1384,2.1757,3.5402,2.9141,0.849,3.7485,2.0757,2.8124,1 
2.731,-1.4054,3.8343,2.4321,1.2698,2.4925,2.7832,2.3301,2.5854,2.228,2.657,1.5268,2.5099,1.1476,0.8472,1 
4.511,1.503,0.6645,1.1761,-0.6348,1.1612,0.8416,1.2125,2.7908,1.5791,2.4788,2.0459,2.363,1.101,2.5177,1 
5.6922,0.6146,2.3209,3.2164,3.1686,1.0984,1.1155,1.905,1.1463,2.667,2.576,2.8801,2.7882,2.4724,0.7045,1 
4.2727,-0.9652,1.9181,1.763,0.7416,2.621,2.2351,-0.0205,4.1766,2.2605,1.2982,1.9178,2.4889,2.4366,0.9479,1 
5.7459,0.1836,2.866,1.6109,1.162,1.3316,0.6561,3.1855,1.0375,1.9736,0.9418,1.498,1.8794,1.9043,2.6226,1 
6.0384,-0.3114,1.5706,1.9419,0.9061,1.791,2.595,2.7716,2.0852,2.4397,3.0815,3.8671,1.6091,2.1506,1.8541,1 
5.4575,-0.8692,1.8509,1.4239,2.2917,1.9712,2.9749,-0.0293,1.9495,3.3205,0.8121,1.483,1.9111,2.975,1.0789,1 
4.6938,1.3763,1.2062,0.8236,1.2801,3.6015,2.2822,1.3896,0.8649,2.8758,1.7865,2.6088,0.9991,0.8256,2.2188,1 
3.6611,0.2675,2.5702,1.2457,0.1114,1.0643,0.7514,2.4989,1.1836,2.1375,0.8253,1.8483,2.4174,1.8974,1.697,1 
4.4052,-0.8599,1.1632,2.0507,1.9502,1.2755,3.3267,1.2534,2.507,3.2094,1.8886,2.7972,1.3833,2.6929,0.8299,1 
5.072,0.4331,-0.2938,2.3483,2.1991,1.2171,3.6946,2.2175,2.8442,2.4002,1.2132,1.364,0.723,1.9124,1.9923,1 
4.6299,1.125,2.7338,1.9738,-0.063,2.4465,0.8487,2.2656,0.5595,4.0009,0.0542,2.9357,-0.0676,3.5806,3.3887,1 
5.342,2.3203,1.659,2.0627,2.0206,1.5153,2.5154,2.7118,2.6214,0.9065,1.7381,2.8451,2.0518,3.8303,0.9201,1 
5.3909,0.8072,1.4958,1.4789,2.5807,0.1137,1.2042,3.0861,2.7883,1.7817,2.2003,0.8052,1.7654,3.1564,3.0914,1 
6.5074,-0.0132,0.8861,4.0904,0.9914,3.5905,1.1842,2.4449,1.696,3.2786,1.7785,1.8657,1.4616,1.9886,4.4548,1 
3.3802,0.7235,0.3911,1.5845,1.9651,1.7754,2.6271,0.9385,0.5263,1.0435,3.1023,0.6081,1.0414,1.9345,1.6897,1 
4.6508,-0.4764,0.4086,2.2707,3.0079,0.7181,3.5972,1.3539,0.5565,2.2779,1.004,2.0193,1.287,2.1612,3.0256,1 
5.0372,0.0845,2.3029,2.1866,2.8756,1.2347,2.8445,2.2799,1.669,1.3418,0.725,1.7426,1.8125,-0.1382,2.5203,1 
5.4118,0.0572,1.7642,2.3359,3.5777,0.3403,2.4474,1.9454,2.1894,3.1287,0.7566,2.7107,2.9029,1.9591,3.6855,1 
4.3797,1.7089,1.654,2.6595,1.8561,3.0591,2.7542,2.3348,1.9467,1.6034,0.8585,0.779,1.1326,-0.2021,0.4282,1 
4.1283,0.742,1.4087,1.8664,2.8697,1.4863,3.0537,1.7882,2.0297,1.6056,2.201,1.8195,1.3542,0.9129,2.6616,1 
5.6732,0.4674,1.5787,1.7082,1.4228,2.9614,2.1858,1.4175,1.838,3.0649,3.5964,2.2973,2.9132,3.248,3.0997,1 
5.7243,-0.8784,2.5057,2.8064,1.8703,2.335,1.4328,0.6264,0.3333,2.7038,2.7203,1.3939,0.7585,2.5948,2.6149,1 
3.8352,1.4146,0.885,1.646,2.1318,1.7867,0.6914,2.2765,0.5913,1.1464,3.764,2.347,2.8132,1.5537,0.647,1 
5.3193,-0.1822,1.4538,0.6259,2.2553,2.9847,0.9667,1.5527,0.0297,2.2645,2.643,1.5391,2.3008,0.6841,3.4267,1 
4.8534,0.176,1.0316,3.2875,2.5874,2.0711,0.8125,0.8766,0.5868,2.0127,2.2195,1.4201,2.6892,2.1039,2.9966,1 
5.6883,1.1768,3.6676,1.2076,3.4562,1.8465,1.0096,2.8164,3.792,0.7686,3.6134,1.293,0.7884,1.8751,2.8177,1 
4.5775,-1.3859,3.2147,1.7658,3.1903,3.0342,0.5366,3.3358,0.9101,1.0539,1.0486,1.2018,3.969,1.928,0.4037,1 
4.6244,2.0114,1.7074,1.1778,0.796,2.0949,1.8377,2.2845,1.84,2.4617,1.7061,1.7158,1.0264,2.0479,3.9442,1 
4.348,1.6109,2.9368,1.7913,2.3331,0.7306,2.7381,2.9161,1.6507,1.6122,1.4548,2.1276,1.6199,3.2961,4.1929,1 
6.317,1.9636,2.0143,1.4154,2.062,0.7307,1.6303,1.2593,3.43,2.3089,1.8405,1.576,1.6916,2.9885,1.7671,1 
7.4713,-1.1299,2.5239,1.5339,2.5294,1.2106,0.2146,4.1653,1.4831,4.0008,2.2673,3.124,0.7959,2.177,1.3884,1 
4.4892,1.3252,3.2969,0.9069,3.6421,2.2574,3.3336,1.8596,2.2724,3.1943,2.4754,0.2338,3.5039,2.5678,2.0621,1 
5.844,-1.5621,1.5795,0.5731,1.989,3.5735,1.2315,1.6488,2.9135,2.1862,3.4121,0.8611,1.3772,2.3064,3.1708,1 
5.3311,1.1227,2.5158,2.9201,1.5835,0.9512,3.5966,1.8747,2.0556,2.3215,1.837,2.2596,1.357,2.3379,0.849,1 
4.8449,-0.8276,1.6689,0.5815,0.9916,2.1865,1.6376,0.3858,2.8467,1.0011,1.0314,1.8192,1.0294,1.3206,1.9771,1 
3.4635,-0.2431,1.7816,1.6008,1.4363,1.6879,1.3292,2.086,0.6487,1.3994,2.6458,1.8351,0.9459,2.1221,-0.198,1 
5.1461,-0.4678,1.2717,1.7805,2.1758,2.3761,0.6211,2.8805,1.7718,1.6493,2.9152,1.9272,3.7463,1.5292,0.3101,1 
5.2321,-0.0148,2.1397,3.4411,2.66,1.0409,2.7565,2.3429,1.4038,2.8375,1.6159,1.0433,2.5524,0.7576,1.9596,1 
4.5495,0.1535,2.342,1.7808,1.6813,1.1037,2.242,2.5985,2.6207,0.521,2.006,2.599,1.064,0.536,2.7026,1 
4.5535,-0.6911,3.6019,1.7121,2.9525,3.1876,2.516,3.1021,1.6297,2.0344,2.9937,0.9624,1.322,3.0634,1.0669,1 
4.4929,-1.0118,0.9208,3.3909,2.4725,2.9246,2.6031,0.9472,0.6511,1.4612,2.5585,2.4066,2.2981,2.2221,4.0125,1 
5.7914,-0.0921,1.381,2.0071,2.6954,-0.1972,2.1783,3.6182,1.1485,2.5169,0.9707,1.1179,3.9434,2.0272,1.5772,1 
5.1388,0.1089,1.998,1.2437,1.8161,1.8308,1.1929,2.573,1.7674,2.6699,2.8421,2.5424,1.87,1.3056,1.3388,1 
4.8423,0.3026,1.6749,0.311,0.8052,3.3398,1.5341,2.165,1.3995,1.789,1.866,3.2612,1.3505,-0.3511,1.7175,1 
* 
0.8412,0.8733,1.3882,0.8737,4.1447,1.11,1.4688,0.9736,2.4051,2.0215,0.5849,1.5614,1.8429,1.3195,1.4066,1 
0.1978,1.044,2.8836,-0.0158,2.5604,2.797,2.194,1.883,1.2795,0.5473,2.6998,0.7683,1.1245,3.2445,3.1916,1 
1.1571,2.1023,1.0859,1.9079,0.8176,2.9357,2.786,2.352,1.3894,3.8115,0.128,2.4959,1.8754,2.0532,2.5305,1 
0.6732,2.2536,3.375,1.4721,2.9654,1.5497,1.6501,2.7463,3.5414,2.9456,0.8986,0.6407,-0.8459,2.8087,1.503,1 
1.3123,1.2183,2.8611,2.5112,-0.03,1.9002,1.1026,3.4949,1.9132,0.6167,0.7388,0.7298,1.1224,2.0504,1.6426,1 
2.5465,1.8865,1.9747,1.6172,-0.0526,0.0266,2.365,1.9259,2.6582,2.4881,1.4831,2.7482,1.9529,2.8694,2.0774,1 
2.9429,3.8538,2.3326,2.5122,1.7871,1.8199,4.1876,3.0573,2.3841,2.9045,2.041,2.357,3.1455,2.4935,2.3946,1 
1.9684,1.9532,2.495,1.4864,1.6656,3.3662,1.4048,1.2591,2.2507,1.0684,1.4592,2.2077,0.8696,2.3534,2.0234,1 
1.3129,2.0725,2.5533,2.2796,3.3697,3.547,3.7418,2.8622,2.5235,2.4225,1.6323,0.3967,2.4209,2.2704,3.0146,1 
1.0786,0.6983,2.6077,2.1815,2.8549,2.5832,1.9049,0.7865,2.356,2.0527,1.9074,1.6533,2.0409,1.4575,1.0573,1 
1.0985,2.1973,2.8517,3.6265,0.3163,1.5924,2.9736,1.5536,1.8303,1.9744,3.2389,2.601,2.2559,2.9772,2.9321,1 
1.2296,1.8319,1.7844,1.1587,2.9484,1.9066,0.9648,2.4186,1.1049,3.066,1.0807,1.5068,3.0636,2.9956,2.917,1 
4.0087,2.0587,1.8862,1.6438,1.5794,1.6719,3.1199,1.2344,2.1948,1.3855,1.3941,1.1694,4.0247,2.4635,-1.2913,1 
1.1302,4.383,0.8239,2.8786,1.7807,1.7409,1.0688,3.093,1.7389,1.0497,1.7008,1.7863,2.4623,0.4713,2.0606,1 
3.5076,1.4512,2.5335,2.0988,1.2641,1.0107,3.6986,1.6408,0.6963,1.8758,2.8059,2.4313,2.5246,2.4394,1.0601,1 
1.5447,0.6604,1.8213,1.7412,2.2031,2.4695,1.8222,2.1578,1.9389,1.3765,2.7279,2.1119,1.6978,2.2592,2.968,1 
1.6074,3.3982,2.5604,1.1911,2.4186,0.2696,2.2913,3.6114,0.2624,2.4985,2.6814,1.6003,1.9355,2.7178,1.639,1 
2.4146,2.1853,2.3961,1.9237,1.6838,2.1281,2.6594,2.3907,2.8586,1.9068,2.0284,2.0675,1.3569,2.2645,1.8008,1 
3.2784,0.4678,0.7041,0.572,2.968,4.5551,4.2045,1.7531,3.0409,2.2767,1.0426,2.7906,3.9553,2.1685,2.0899,1 
1.8781,2.6396,-0.4689,1.5018,2.3931,2.3279,1.9948,2.5559,3.0587,2.1782,2.4761,0.2507,1.8858,1.3726,2.1333,1 
2.9555,2.4592,2.3046,4.8229,0.9319,1.1651,2.3425,2.4013,2.3302,1.4964,2.6129,-0.0982,1.8392,-0.2058,1.1426,1 
3.4455,0.0262,0.5575,-0.3071,3.0781,1.6755,1.4698,2.5072,1.5546,1.841,-0.0012,-0.0417,3.0829,2.7528,1.7263,1 
2.2796,2.3886,0.9017,1.8016,2.2308,4.8249,2.1352,0.6893,3.1661,1.3575,1.5549,0.7303,3.6996,2.7939,2.2397,1 
3.8227,1.6578,-0.411,1.8515,2.2543,2.878,1.9628,2.1725,1.7292,-0.0078,1.3167,1.7367,1.4138,0.4921,1.7017,1 
1.4369,2.02,3.0256,1.3865,1.087,2.0477,3.2414,1.3406,2.1156,2.5767,1.2659,3.2675,2.3661,2.5961,1.3069,1 
1.2755,2.2996,1.6899,2.2193,1.0023,0.9129,1.2646,1.4166,2.4972,2.4477,1.3656,1.8898,2.0009,2.9309,2.3282,1 
2.3632,2.4971,0.585,3.4492,0.0422,1.4905,0.5877,2.4279,1.9068,3.1364,1.7302,1.3737,2.5828,2.236,2.1157,1 
0.9937,1.9171,2.3442,2.3921,2.0741,2.1563,3.3878,1.1975,0.9726,2.1113,1.4403,1.0757,2.3237,1.4293,3.031,1 
2.8923,3.4962,3.2114,1.854,1.9762,2.4807,2.5065,2.3522,2.9715,1.7946,2.7022,0.4965,2.3512,2.2186,0.3876,1 
2.7039,2.8143,1.9603,1.5033,2.3229,0.6914,3.8784,1.5646,0.9614,0.9509,0.4596,2.2148,1.8077,1.5756,2.9986,1 
2.3087,2.3733,2.9606,0.7776,3.119,2.946,2.3104,2.4222,2.1798,3.5065,-0.0162,1.5124,2.1702,2.9154,-0.0778,1 
0.7222,2.8103,1.3687,4.7404,2.0505,0.1618,1.6557,1.8801,1.3282,0.6701,1.8747,1.7064,1.2392,1.8763,2.2185,1 
0.6815,2.4379,2.685,2.7001,2.3737,0.9754,3.088,1.0737,0.7619,1.4749,2.5628,1.3534,1.2573,1.4876,1.9763,1 
1.8667,1.2871,1.3702,1.7545,2.3197,2.1026,1.9369,1.7528,4.0139,1.2539,1.9753,2.6408,0.5942,1.9868,3.4807,1 
3.6539,3.5636,2.8386,0.4721,3.8284,1.6448,1.5166,2.3586,2.2785,2.5288,0.4228,0.3222,2.4337,1.8276,0.4043,1 
1.3259,1.9105,2.6726,2.551,1.8468,2.709,1.7931,2.4088,1.2827,1.6064,1.8088,4.9127,4.451,0.6404,2.202,1 
1.0392,1.6151,1.4839,2.0743,2.4835,2.1528,-0.0626,2.1668,3.494,3.7989,1.7449,2.8913,3.5763,2.5807,2.3783,1 
1.7287,1.3555,3.11,4.0214,3.5851,1.9704,3.809,2.4846,3.4049,2.7539,2.3102,1.54,1.9134,2.3205,4.3704,1 
1.1411,0.863,3.4209,1.2323,2.2266,2.1222,1.4593,2.1407,2.9706,0.5138,2.5805,0.5159,2.4049,1.6458,1.5993,1 
1.0607,1.7601,4.152,3.63,3.1675,2.1134,4.1025,2.1085,1.1151,1.8638,2.6648,1.5749,1.8994,1.998,1.6704,1 
3.2188,1.1197,0.424,2.6192,1.5922,2.3689,0.4811,3.7007,3.109,2.4278,1.188,3.0319,0.5763,2.3357,1.3725,1 
2.1284,0.9574,2.4155,1.5678,2.5103,1.5392,1.0596,1.6842,2.1562,2.0919,0.3035,1.3302,2.0735,2.7289,1.4215,1 
3.5434,2.0857,3.2589,2.127,2.8134,2.1575,3.3247,3.004,1.7941,1.4194,1.0912,3.1221,3.3423,2.0977,1.3351,1 
2.2472,1.4019,3.3197,1.2726,3.2793,0.8259,1.5633,1.6568,-0.6477,3.1447,3.2599,3.4013,3.196,1.8569,1.1732,1 
3.8739,1.003,1.8886,1.5707,1.5469,3.5068,3.29,4.3465,-0.7136,3.1034,3.0408,2.1245,2.2579,1.64,2.6576,1 
2.1821,3.8874,1.2941,1.9624,1.7604,3.8802,0.7037,1.4035,2.9301,1.125,2.9262,2.4773,2.677,1.0306,3.2678,1 
0.7823,1.4699,2.795,2.4561,2.2665,1.9485,1.8838,2.4506,2.209,3.1841,2.8311,1.6934,0.4602,0.6268,1.2385,1 
0.4561,1.9616,0.7628,3.3592,1.8326,3.175,1.3848,1.7792,4.0444,0.2826,3.1723,0.9989,0.4865,3.807,2.9782,1 
2.4071,1.7953,3.7019,2.9164,1.6386,0.7625,0.9468,2.732,0.7063,2.0715,2.2597,3.2205,1.5701,3.305,2.8932,1 
-0.082,2.0225,0.9532,-0.2106,1.4905,1.9511,2.1886,4.1859,3.7535,1.0479,2.9069,0.5203,0.9503,1.7728,2.1827,1 
2.647,2.1896,2.1984,1.962,2.6191,0.5206,0.8868,2.9857,3.108,2.475,3.0782,2.5462,2.6966,0.2791,1.886,1 
1.1014,1.2298,3.5829,1.1819,2.4742,1.5722,3.4444,1.8762,3.7097,2.6144,4.7419,2.6728,1.3591,2.8502,-0.1834,1 
2.1444,1.2642,1.8747,3.5444,2.4778,0.4636,1.0063,1.9765,1.1527,2.2028,1.5358,3.3115,1.3767,3.1695,2.7356,1 
1.4813,1.4236,1.8261,2.3472,2.8698,1.0216,1.1405,2.9827,1.498,1.502,3.321,2.6773,2.5817,1.49,2.3478,1 
1.6243,-0.1519,2.2404,3.7162,2.0771,0.195,1.9615,0.7047,1.7515,1.3868,0.9971,1.7182,2.0682,2.7342,1.6627,1 
2.7986,1.7906,-0.7837,0.7781,2.3775,3.9093,0.2509,3.215,1.8949,2.6514,0.9275,2.3647,-0.1077,2.7152,1.0426,1 
1.332,2.2772,1.5885,0.4134,2.0387,1.8779,1.3332,2.5822,1.596,1.6619,2.4473,1.5596,2.7734,2.5837,1.3796,1 
2.4094,1.8805,2.2378,0.8344,2.314,1.8992,3.3819,1.1002,1.6821,2.7121,2.7568,2.1782,0.9889,2.411,1.9995,1 
2.5931,2.3395,1.8215,1.36,3.2727,0.8286,0.2189,1.8348,2.1705,1.7634,1.8369,4.7206,2.9226,2.0588,1.0248,1 
1.3453,1.4174,2.6233,3.701,2.8878,2.6174,3.1977,0.6175,2.7236,2.7477,2.6506,3.0059,2.2457,1.9988,2.5822,1 
2.4042,1.8612,1.1656,1.8865,0.9881,1.9319,3.0527,2.6562,1.2641,2.7679,2.1212,2.1174,2.002,1.8871,1.7803,1 
2.7635,0.4177,2.7566,-0.2632,2.2758,0.7169,0.8938,0.6008,2.5715,3.4827,1.287,0.151,1.4194,1.9592,1.6926,1 
3.6135,0.6882,1.9044,1.582,1.7793,0.9171,2.8414,3.5484,2.1132,2.9145,2.7966,2.695,3.3971,2.2823,1.9139,1 
3.1813,1.4905,0.7901,0.4453,1.0474,1.8466,1.4803,1.8147,1.5557,1.1265,2.7335,0.2892,2.7181,1.4521,2.7135,1 
1.7312,2.4102,3.0173,3.1907,0.91,1.7301,2.4665,2.0091,1.3608,2.1944,2.1127,1.9915,2.6798,2.9917,2.3259,1 
1.8012,2.2845,3.3348,1.1076,1.9108,3.0037,1.8686,1.7463,1.5033,3.831,2.5145,1.1529,3.1325,2.0535,2.5188,1 
0.5377,0.677,0.7121,1.6394,3.2461,0.623,3.2698,0.3106,2.9283,2.2095,1.2334,2.532,1.0365,1.7929,1.9242,1 
4.5984,0.9889,1.8391,1.8084,2.4104,2.812,4.3897,1.8235,2.0487,1.7415,2.5123,3.9216,1.5632,-0.2155,4.375,1 
4.0198,2.7336,3.4771,1.3047,3.073,2.0035,1.3319,4.1999,1.3976,2.8684,1.5548,1.0224,1.1391,1.4645,2.1943,1 
0.8895,2.1463,2.7109,1.0189,0.3533,1.3941,2.9768,1.036,1.6323,2.1211,0.8057,1.7079,2.2916,0.4526,3.1469,1 
1.0737,0.0449,4.5412,3.5502,0.8993,2.0202,2.6974,2.8455,1.8757,1.5525,0.6004,2.8534,2.5762,1.6629,2.2294,1 
1.838,1.6889,2.1211,1.7843,0.8142,2.8028,2.8888,2.7909,1.2173,2.0082,2.4508,0.9303,2.9139,3.0317,1.0574,1 
1.3584,1.8307,2.0108,-0.1176,1.6755,1.6538,3.3596,0.6772,0.6476,2.3285,1.5273,1.6165,1.5098,-0.048,1.4929,1 
3.11,1.5575,1.9495,1.8977,2.4384,2.107,4.0576,1.7533,1.9432,1.2168,0.661,2.9957,2.5659,2.4171,3.3739,1 
1.0378,1.4807,0.7905,2.4582,2.1591,2.2915,1.2966,3.5437,1.6434,1.3002,4.1335,2.988,1.0275,0.9039,3.8393,1 
2.0305,2.3058,2.383,2.3473,0.5067,2.7207,1.8028,2.4787,0.6978,2.0055,0.3428,2.5163,0.7331,3.7406,1.1831,1 
3.3302,1.0224,2.921,1.6335,2.9089,2.2477,1.0851,1.9813,1.365,2.4437,1.3385,2.021,0.743,1.8414,-0.4818,1 
3.8172,2.3139,2.1041,1.1469,2.0725,3.5653,1.4188,3.2813,4.4847,0.408,2.5997,3.12,1.058,1.9505,1.5366,1 
3.0205,2.4719,1.3947,1.1078,1.6828,1.5977,1.5779,1.9792,1.0705,2.0255,0.6405,2.0876,2.0199,2.0604,3.4904,1 
