Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Class
5.4803,-0.8681,3.1589,1.5587,1.4822,1.9958,1.4099,2.7999,2.6464,2.4458,1.1027,-0.3138,2.5301,1.9086,1.6695,1.7589,1.2298,1.058,2.5346,1 
5.9093,-0.2816,1.7428,3.7347,1.9377,1.3255,3.1492,2.2638,3.3652,1.983,0.1031,2.0128,2.6528,3.1747,0.5834,2.8673,1.6725,1.7902,3.6745,1 
4.7096,-0.5773,3.7795,2.8395,3.5574,2.8157,1.188,1.9517,2.5537,1.9125,3.1653,3.8526,3.4548,0.4863,1.2468,1.8368,2.1269,2.4108,1.4395,1 
5.6745,-0.4517,3.4858,0.7368,3.0204,2.3602,0.1243,2.6525,3.3281,3.3083,4.7296,1.5223,1.9899,3.1835,2.7749,3.3936,2.7442,1.5497,1.7869,1 
4.1615,-0.892,1.5798,2.2028,0.8834,1.1554,3.9857,-0.2116,1.7944,1.5385,2.0009,-0.2408,1.0524,2.5563,0.3916,2.1502,4.3562,1.8558,2.2569,1 
4.8368,0.281,4.1889,2.6535,3.8686,3.0515,1.7012,2.4323,2.018,2.1346,-0.6939,4.5152,2.4452,3.0097,1.4588,2.9203,3.1151,1.4571,0.2667,1 
4.6356,0.3515,0.7294,2.7786,3.6045,1.585,0.8535,1.4808,3.18,1.1912,2.3221,2.3059,3.1595,0.1847,2.2328,2.5281,1.8508,2.3576,3.3506,1 
3.3029,-0.1939,1.1793,1.4705,2.7297,2.3126,3.1928,2.3254,3.6037,2.4017,2.0292,3.417,1.4417,2.66,2.1964,1.8309,1.2347,0.9877,2.0175,1 
4.5705,1.0176,1.348,2.5401,1.7164,0.0489,0.5014,3.013,2.4261,2.7825,0.6958,2.7915,1.2873,2.0085,3.3311,3.5067,2.2907,0.5566,1.9319,1 
3.7334,0.5837,1.5487,2.8277,0.6385,2.1681,3.0442,1.134,2.0515,-0.726,2.6544,2.8723,1.9478,1.9129,-0.6304,2.5764,1.1469,-0.175,2.7258,1 
5.8922,-0.2976,3.9963,2.8512,1.3509,2.6822,2.5687,3.3828,0.0693,-0.0079,2.0661,0.6748,1.9389,1.5819,2.0483,2.3847,1.3671,1.4853,2.7858,1 
4.6954,-0.8531,2.1436,2.0337,3.8123,1.3443,1.7742,0.3863,1.9022,1.3603,3.906,1.8678,1.3332,-0.3834,2.3815,2.9169,0.6777,0.2337,2.3584,1 
6.2832,0.6866,0.6332,3.216,1.4353,3.5114,1.1773,1.8583,2.1131,3.4931,3.1984,3.4755,3.7678,2.4252,1.2968,1.1073,1.3865,2.6517,-1.2891,1 
5.0114,-0.015,1.0918,1.1527,1.3369,2.0816,1.9687,2.9025,-0.2477,2.2988,3.4886,1.2667,0.7391,1.0073,2.9151,3.2591,4.2492,0.6533,2.5788,1 
2.5486,-0.4304,0.7357,2.4492,3.4275,2.7171,2.0778,3.0773,0.7816,1.0561,-0.8362,1.7756,2.2675,3.2435,2.3373,1.939,2.9898,1.8688,2.078,1 
4.7989,1.205,1.198,0.7619,1.0947,1.7667,3.4002,4.3337,1.6747,2.6489,2.0213,2.718,0.8298,0.9019,4.1224,0.6891,0.1464,2.7252,1.68,1 
5.7441,-0.7866,1.2945,3.0353,4.352,1.4307,1.8503,1.8853,3.67,2.7505,3.4549,1.6869,0.5844,1.2409,1.4621,1.8518,2.7766,1.2507,1.6501,1 
5.4686,-1.1281,3.4408,2.7931,1.5339,1.4549,1.7874,3.0732,1.4897,4.3225,1.3356,1.5757,1.7283,1.0619,4.2164,3.9237,1.5428,1.2973,3.9938,1 
4.1189,-0.7384,1.4984,2.886,1.3596,3.0312,2.2613,0.8962,0.892,1.2126,2.677,2.2344,1.4938,1.4717,1.3294,2.9654,1.7802,1.019,3.4822,1 
4.7438,-0.019,1.96,1.979,1.3108,2.7613,1.4204,1.8404,1.4732,2.2463,2.1526,1.8778,-0.1191,0.4479,2.0901,2.2136,3.7813,3.688,1.9329,1 
5.7311,0.9781,0.6944,3.2638,2.4233,3.2959,2.4091,1.1861,1.9837,2.122,1.5293,2.0768,2.1091,2.2703,0.7697,2.055,1.4917,0.3805,1.6889,1 
4.8889,0.2819,2.5411,3.0055,1.5885,1.6082,2.6576,2.2462,1.6363,1.0269,3.5637,1.0047,1.4279,3.1308,2.4125,1.324,2.0318,0.8393,2.299,1 
5.7371,1.6737,2.5586,1.7286,1.4508,1.7836,2.3718,2.0591,2.0649,1.972,2.4212,1.3906,2.7097,2.7459,2.2875,3.1575,1.4209,2.4154,-0.4248,1 
6.5377,-1.1829,1.3828,0.4708,2.8274,2.7209,1.8672,3.0974,0.6763,1.1216,1.595,2.3646,3.5056,2.6047,2.4052,1.5944,3.3686,0.7125,2.9453,1 
4.2947,-0.3156,1.4822,3.0006,0.5343,2.6404,1.3977,1.4585,0.5815,0.5515,2.7823,2.9272,0.969,1.7314,1.8114,2.1632,0.6744,0.6074,2.0949,1 
4.6179,-1.344,2.799,1.1932,1.4927,1.3503,1.1142,1.7441,0.6002,1.9619,2.4589,3.2318,2.7662,2.3208,0.9771,1.2385,3.3743,1.506,2.0501,1 
4.4918,1.3308,1.3918,0.2418,2.2974,2.7266,1.492,2.5814,4.2157,0.0462,2.8815,1.159,2.5962,1.9548,3.4534,2.0967,1.5498,0.81,2.7699,1 
5.6379,-0.6179,0.5111,0.4441,2.5486,1.4303,0.8967,1.7144,1.2537,2.1981,1.2744,2.3739,1.9218,0.6463,2.0999,1.2724,2.8312,3.2209,1.2916,1 
6.3975,-0.566,1.7928,0.9827,2.4925,1.2328,0.8468,0.7387,1.7705,1.1246,-0.7346,2.3909,2.9661,1.7515,1.7288,1.1465,2.7985,2.0006,1.0688,1 
5.484,1.8927,2.513,-0.2528,1.9645,1.9008,2.3054,2.3965,1.3439,2.2422,1.48,1.0611,1.8265,2.7412,3.3688,2.9831,3.0151,3.5057,0.686,1 
3.8972,-0.4098,1.1513,2.7806,2.3283,2.4392,0.6972,2.5195,3.2531,1.1848,1.9258,1.5787,0.7021,2.006,2.0515,4.1351,2.9838,3.5344,4.1999,1 
3.5922,-0.3761,2.8997,2.8254,3.5205,1.1513,1.5721,3.3998,3.2714,2.7403,2.5462,1.1032,1.3864,2.0616,2.5876,2.2498,0.8224,1.2513,1.8712,1 
2.822,1.3036,1.7378,0.4605,2.8034,1.0532,2.5966,1.7682,2.1236,1.2039,1.1928,3.6264,0.4364,0.6777,2.1699,1.0165,3.3223,3.8608,-0.1153,1 
4.8008,0.4066,2.1149,0.8804,3.1244,2.466,2.8016,4.0467,0.4887,1.0621,2.5809,1.2499,2.9527,1.6767,2.5237,1.3247,0.4786,2.0622,3.8277,1 
5.7696,-0.9973,2.6407,0.8887,2.3693,0.6156,0.7624,2.7171,2.4568,-0.1231,1.7093,2.1613,2.5203,3.332,1.6625,2.213,1.3128,1.4801,1.9668,1 
5.7363,-0.2255,1.8967,1.0529,1.6779,3.9044,1.1652,1.6105,2.1036,2.5115,2.421,1.1144,2.1592,1.5765,1.2598,2.5223,0.7982,2.8195,2.7313,1 
4.3327,-0.5847,-0.5873,1.3724,2.1017,1.3159,0.0809,1.3523,4.1954,1.2219,2.4093,2.1115,1.6625,2.2275,1.8324,1.8499,2.8613,2.3127,-0.4019,1 
4.3374,0.1425,1.7351,1.3986,2.8405,1.5805,3.0459,2.1708,2.7062,3.0107,0.0872,4.1034,2.6357,2.1338,1.529,-0.0408,1.5851,0.5381,2.565,1 
5.2016,1.0378,2.5144,3.9355,1.5534,1.195,2.4825,2.3234,1.9364,2.3728,2.7701,2.5687,0.5837,2.1623,2.8932,1.1608,4.0449,3.4826,3.0093,1 
5.9816,-0.4962,1.9478,1.7078,2.1955,1.568,1.7417,1.9159,1.6759,2.5035,1.4003,2.6655,0.949,3.0407,3.0666,2.2607,3.2713,1.8914,1.8682,1 
4.3088,-0.4978,2.2901,3.0035,1.4353,0.9307,2.8959,4.3096,2.2322,0.9208,2.7741,2.9816,1.4977,1.754,2.764,2.0901,2.8129,2.6616,1.1897,1 
4.9426,-1.2154,3.3796,1.4351,4.2245,5.1597,1.3953,1.1682,2.9806,1.2579,0.7019,2.0156,2.3346,0.8407,1.0458,2.2694,2.4276,0.7312,1.9775,1 
6.2211,-0.0838,0.844,0.5409,3.3788,1.465,0.1701,2.4697,3.4504,2.4528,-0.1119,3.6563,0.7112,4.2469,3.0359,2.7368,2.8915,3.4776,2.9381,1 
5.0525,1.2349,3.6617,1.2246,1.93,2.2529,1.8605,0.8928,1.0592,2.1013,1.4862,-0.8808,-0.0489,1.3463,3.8781,1.2233,2.1764,3.0596,2.0965,1 
5.6206,-1.5402,2.4517,2.7021,3.2839,1.826,2.5008,2.5297,2.102,1.7337,2.545,-0.1504,0.6793,1.6549,2.3722,1.5651,3.3713,1.0926,2.6342,1 
3.9313,-0.2764,1.5961,2.4165,1.4911,3.3952,-0.5822,1.17,2.0477,2.2581,1.8133,2.5179,3.8221,2.742,1.0177,2.6361,2.7786,1.3257,2.1611,1 
6.0254,1.5953,1.7366,2.2519,2.0252,1.2864,2.5751,2.0307,2.108,2.3383,0.8167,2.2087,1.606,1.816,1.166,3.1446,2.9306,2.2326,2.6975,1 
5.3162,0.8146,0.0087,1.5107,2.0742,1.7362,1.8131,1.8307,0.4624,1.8479,0.1839,2.0072,3.1882,1.809,0.2695,1.4686,3.5914,2.4503,1.6971,1 
3.4007,-1.8234,1.7179,2.0652,3.5625,1.932,0.1921,2.4959,1.7245,1.3966,0.7455,2.0739,1.2328,3.6247,1.3834,0.9049,3.5035,1.8005,-0.1192,1 
5.1886,0.4454,0.622,2.649,1.5372,1.0608,0.9975,1.4119,3.1245,2.3129,2.9888,3.1866,3.7223,2.0981,2.4803,1.4868,1.3069,0.9912,1.0506,1 
6.2125,0.9187,1.2494,2.9618,3.3495,1.8364,1.1585,2.0415,4.3005,3.3017,1.347,1.613,0.1446,0.1248,1.8212,2.2883,1.8232,0.5572,1.779,1 
5.5431,0.2294,2.343,2.7206,1.719,1.6561,1.511,1.2305,2.8062,1.921,2.4022,2.8287,0.5728,2.8783,1.4309,1.5872,1.7845,3.4555,3.3128,1 
4.9323,-0.2801,-0.4064,2.7199,2.5998,0.9904,1.5365,2.7966,3.0088,0.7008,1.0982,0.884,4.1604,1.8623,0.5795,-0.4949,1.9437,1.3022,2.3558,1 
5.6683,1.9559,3.1355,2.2237,1.2036,2.482,1.8736,1.4849,1.4714,1.4812,2.7565,4.58,2.6798,0.7424,0.7092,2.3039,-0.6692,0.7209,3.0175,1 
4.5268,0.1529,1.7976,2.288,1.6948,0.7297,2.7621,1.4484,0.614,1.0933,2.9759,2.0136,1.7081,3.0026,1.6787,0.3087,0.3071,2.2937,2.5451,1 
3.5608,0.657,3.0301,1.7862,2.1377,1.6616,2.0113,1.2025,2.2531,2.1002,3.1535,1.9764,2.0928,2.3975,0.6636,2.0054,0.6707,2.3438,1.0864,1 
4.0444,0.437,1.7265,1.8702,1.9766,2.6338,1.449,2.3167,2.5455,2.4612,1.7651,1.8335,2.3228,2.5243,1.9161,0.4424,1.2412,2.525,1.0933,1 
6.3382,-0.6524,2.4602,1.3195,0.7837,2.8144,-0.0966,3.9729,3.1618,1.9749,1.0164,2.6215,3.1835,1.8354,0.2304,0.5299,0.6977,2.0968,0.3811,1 
4.0148,-0.3121,2.1432,1.2152,2.1003,0.5847,0.8238,3.4775,2.4915,1.8783,3.4467,4.1561,2.5432,1.8069,1.1854,3.0915,1.1727,2.8094,2.2613,1 
5.3849,1.0209,1.8608,-0.4823,1.4688,2.9752,1.4605,2.4017,2.0294,0.3981,0.3857,2.7927,3.2134,1.0524,2.1619,2.3599,1.095,1.937,0.2985,1 
6.1381,0.5938,4.0806,0.9278,1.943,1.2264,3.1418,2.2125,2.9844,2.0222,1.1174,3.5333,2.8857,1.402,1.8349,-0.829,2.915,3.1595,1.6942,1 
5.0578,-1.6966,2.6961,2.2858,1.8273,3.1504,2.3968,1.5718,2.729,3.4312,1.5031,3.0344,2.0448,1.9393,1.1543,1.4124,-0.961,2.7771,1.6961,1 
7.5539,-1.0851,2.423,3.0958,0.9055,1.9862,2.8136,2.4225,2.8166,2.124,0.786,3.5631,3.0955,1.1463,1.5738,2.2564,2.703,3.2405,2.3549,1 
4.7058,-2.4207,1.9504,1.3341,1.409,3.5425,1.2859,1.8095,4.5096,1.8958,2.9595,3.1294,0.1065,0.081,2.6192,0.6768,1.4956,0.8969,3.474,1 
5.2482,-1.0169,1.768,0.8012,1.8846,2.5824,4.3956,3.3888,1.9224,2.6444,2.0645,2.1012,2.6719,4.472,1.4346,3.4914,2.7116,1.6532,1.6133,1 
5.1808,1.9476,0.8956,2.2483,2.2583,1.4217,3.2185,1.6539,2.0939,1.4748,2.6658,1.1195,0.9603,3.9608,1.3182,2.6918,1.3291,1.6856,2.1085,1 
4.1499,-0.0388,2.6497,1.2144,2.6676,1.2281,2.4787,3.2308,1.3561,4.5333,4.0598,2.6103,1.6561,2.029,0.7341,-0.1757,1.1538,2.78,1.2671,1 
2.9542,0.3833,2.2355,0.5881,3.314,2.3768,1.7065,2.2462,1.7784,1.8377,1.8543,2.8814,2.3917,1.7805,1.2591,0.2535,2.1393,1.2491,2.3988,1 
4.0723,-1.6357,2.3916,0.4957,1.4511,1.5596,1.8954,2.7387,1.9523,1.772,2.4494,1.8793,1.9625,0.8414,1.7289,1.2649,3.4961,0.1905,2.3595,1 
4.4151,-0.3955,2.2838,2.1816,1.4463,2.275,3.5249,2.6442,1.83,0.0101,3.0037,1.0691,4.5756,2.9037,0.7335,0.8766,1.1887,1.6767,2.9539,1 
4.7804,-0.7516,1.539,1.9035,1.3405,2.4449,1.6644,1.4565,2.0376,0.7823,0.4243,2.0085,2.5245,1.4207,0.8245,2.6099,1.9112,3.8523,0.9056,1 
4.0883,-0.8413,1.2867,1.2141,2.8595,3.3428,2.6177,2.0834,2.896,3.8588,2.547,-0.2889,0.6934,2.5589,1.411,2.3657,2.9435,2.2554,1.6948,1 
5.5686,0.9189,2.7992,0.1733,2.1424,2.7831,4.5517,0.9023,1.3264,2.5614,3.4253,0.5564,2.5711,1.7293,-0.0023,4.4262,0.7238,2.6772,3.9626,1 
5.522,0.1986,2.5038,1.6333,3.1573,2.4435,2.1055,2.1527,0.8817,3.0541,1.414,1.6435,1.8817,2.1449,1.6929,2.423,2.1636,2.4328,2.5702,1 
3.5411,0.2345,3.0893,2.5564,2.7109,1.1074,3.1859,1.9263,2.1083,3.1085,1.5594,3.0081,0.529,1.437,2.1041,1.9124,2.8074,1.6816,0.8341,1 
4.4618,-0.2564,2.8028,2.0443,2.2832,1.9595,2.9638,0.9595,2.6554,1.8451,1.451,2.6002,1.1783,2.7911,2.4109,1.8348,1.2776,0.0464,1.0993,1 
6.0455,-1.2681,0.3521,1.6628,1.5187,1.7133,0.729,1.4564,0.232,-0.0448,2.9829,1.6869,1.315,2.6799,1.9524,1.5925,1.8396,1.9048,1.8054,1 
4.3338,-1.5919,3.4116,1.9789,0.9156,2.3036,1.9865,1.9882,-0.2698,3.6049,3.7369,2.3691,1.8385,0.4302,2.6134,1.6614,2.0424,3.2605,2.7014,1 
5.4972,0.6005,0.4565,2.7617,1.9457,1.5253,3.0443,3.2338,1.2595,1.3243,2.1783,2.7955,2.8463,2.3964,3.3967,2.051,1.9901,1.3823,1.952,1 
5.0527,0.1203,2.1566,2.221,1.4634,2.4487,2.2516,2.1324,0.3259,2.9194,1.5929,1.823,0.8646,3.2142,2.2799,2.7114,1.6081,1.5829,2.4709,1 
6.1383,0.5283,4.1228,-0.9581,1.0437,1.7796,2.4427,1.0605,2.4903,3.4696,1.6547,2.539,0.9731,1.627,1.7499,0.6513,2.4262,3.1561,2.9319,1 
* 
1.8238,2.1889,2.8267,1.9676,1.3475,1.8947,2.2178,2.5873,2.1002,0.9001,1.7447,2.4053,2.1627,3.0416,2.2243,2.6993,1.1345,0.6065,1.7633,1 
1.243,3.3143,1.0226,1.641,2.1161,1.6489,1.5602,1.9509,1.5684,0.9112,-0.3109,0.1376,2.2347,1.1044,1.4592,1.5976,2.0231,2.1777,1.4267,1 
1.6616,1.9974,3.4493,3.3661,4.6919,2.6761,0.939,2.1318,2.1719,2.0888,3.0396,1.8622,1.6308,5.1959,3.1146,1.7405,3.4837,0.4295,2.9789,1 
3.7607,2.3531,1.6915,0.5952,1.3455,0.6221,1.7574,0.8246,2.6964,2.2841,0.9805,3.0968,2.2416,1.633,-0.1989,3.4187,2.2208,2.7925,1.7762,1 
1.3033,1.0823,0.528,3.8777,3.5103,2.1187,2.6507,1.2923,3.6986,3.3466,2.5267,1.3864,1.8208,0.7137,3.4168,1.8186,1.898,1.3967,3.2049,1 
2.9623,2.8612,3.9624,0.8445,2.3453,1.9229,2.1173,2.2703,1.4163,0.4069,1.035,2.7778,2.5147,3.4315,2.3681,2.4517,2.2936,0.9173,1.4199,1 
2.8511,3.171,3.2371,1.4858,0.9485,1.6426,1.7931,2.2799,0.5922,2.9835,2.2028,1.5187,3.4312,2.3366,1.7463,1.2857,0.6816,1.5102,4.12,1 
-0.1147,-0.6358,3.7235,1.7744,2.7601,1.1191,1.7471,3.412,0.1907,1.1456,0.9598,2.1145,2.3883,2.3475,1.798,2.2349,1.5645,2.1023,2.0442,1 
0.727,2.3976,4.4079,3.3017,0.6747,3.6876,2.4114,3.5263,2.1458,2.3133,2.1644,2.1365,2.393,2.1706,1.2337,1.0485,0.4987,2.4545,2.6901,1 
1.0394,1.1717,2.6674,0.4441,0.5955,2.5971,0.5417,2.2425,1.5729,2.9015,2.7795,1.8013,0.424,1.9391,1.8714,2.4568,2.1742,2.5755,2.6707,1 
1.6489,2.6318,0.3235,1.5971,1.9152,1.7245,2.0057,2.094,2.0592,0.8505,1.3012,1.3028,2.8659,2.4629,2.2871,1.6249,2.4037,4.1916,0.62,1 
2.8812,2.6479,2.642,1.0562,2.3161,2.8737,2.4098,-0.0049,4.066,0.4905,1.6221,1.3569,1.2045,3.5489,1.0276,1.1784,1.3094,2.7256,2.2918,1 
0.7182,2.0089,1.6051,2.8371,2.7187,2.0125,0.3874,0.4896,1.6096,3.222,1.0538,2.7758,1.8482,1.4671,3.0659,2.2658,1.768,1.8702,2.8876,1 
0.7973,3.1949,0.2128,2.9225,4.5241,0.8503,3.8564,3.6082,1.7486,2.2455,1.708,2.2462,2.6408,4.369,1.4242,2.1794,0.7371,0.5508,0.551,1 
2.0122,0.434,1.9709,1.7358,2.085,4.0642,2.1001,2.3422,3.0503,2.3139,2.1028,-0.0547,1.2974,0.4511,2.6876,3.9117,3.1606,1.1352,-0.5233,1 
3.0502,2.9365,3.3526,2.2468,3.3008,2.3683,0.3741,2.4327,1.3983,3.9203,1.8606,0.8734,1.8615,0.5463,0.9049,2.6159,2.0313,0.9166,0.3339,1 
1.5602,0.4203,1.9789,2.8644,2.2221,2.8125,1.7955,3.5204,2.6402,0.007,2.2474,2.1846,1.7581,0.4075,3.46,0.5737,1.6516,2.34,2.4348,1 
1.4788,1.1375,3.1995,2.8127,1.4367,2.3471,2.3566,0.8967,1.0794,1.2415,2.9018,2.6672,2.3099,2.3152,2.3894,2.2904,1.659,1.4228,2.0959,1 
1.1938,1.9651,2.495,1.978,1.9936,-0.0127,3.5147,2.5201,3.2836,1.3721,3.3432,2.4383,2.7613,1.9547,1.7961,1.2448,2.3602,0.5868,1.6221,1 
2.9477,4.2516,2.6943,1.0027,2.9792,2.2148,2.3731,1.3075,1.5509,1.8805,1.462,1.7471,2.6123,2.4849,0.2125,2.7834,1.8482,0.6812,1.9586,1 
1.8966,1.8857,3.2673,1.4442,2.714,2.1862,1.5236,1.3632,2.0949,1.8024,0.8295,2.0309,3.6064,1.7117,1.5713,2.9669,2.2004,1.5528,1.7556,1 
2.7845,1.5672,1.3749,2.069,1.4514,-0.0315,2.1769,1.5393,1.9298,1.6935,1.6238,2.1807,1.8847,2.6509,2.0424,2.7693,1.9735,1.8841,2.8947,1 
2.4499,0.8012,3.3169,3.0881,0.8755,3.8466,1.326,3.1334,2.3477,1.6952,3.449,3.1416,3.0886,2.1054,3.4699,1.0505,2.0591,0.5933,1.81,1 
2.2259,0.4223,1.102,2.6474,0.7817,0.6142,0.7475,2.5987,0.0139,1.0358,2.736,2.1915,2.8059,1.397,1.7781,2.5658,2.3592,2.028,2.7103,1 
3.1838,0.1342,2.7349,1.8605,1.8239,1.1526,1.3117,2.2083,2.2106,2.5116,0.2161,2.3494,2.0518,3.2224,0.3881,2.6299,1.1782,0.4133,2.6373,1 
1.0805,1.3298,2.3463,2.1771,0.2105,1.2017,0.8163,1.005,1.8099,1.3926,3.2938,0.5153,3.2457,3.1376,1.2945,2.5872,0.7145,3.0111,0.8028,1 
2.0842,2.2155,2.1888,1.1057,0.8427,0.9811,1.7588,2.8389,1.6438,3.5587,1.191,2.0034,2.2442,2.4735,0.5685,1.9231,1.8831,-0.6353,2.6696,1 
3.1377,1.043,1.4337,1.6347,1.7445,1.2614,1.7192,2.6685,1.5065,3.5453,1.3197,2.5244,2.0717,2.1841,2.0096,2.6149,2.7296,2.5715,1.6324,1 
1.081,1.0098,1.922,1.6775,-0.0485,0.5413,0.1464,3.1079,0.9803,1.5388,2.3935,0.633,3.9659,1.9825,3.6094,3.5049,2.1823,2.0425,2.4206,1 
1.5108,1.8423,1.9107,1.1058,3.5433,2.9284,1.8897,3.2649,3.6861,0.1776,3.592,0.4285,4.5298,3.3236,3.5404,4.5357,0.2746,2.2227,0.4165,1 
-0.6417,2.0367,3.1184,2.6697,1.7636,0.1579,2.5556,3.5174,2.1859,3.0656,4.7121,1.4017,4.6591,-0.2049,4.5387,1.3855,2.2429,1.6064,1.0951,1 
1.8085,-0.5991,2.3885,0.4157,1.6895,1.2636,0.9013,1.3791,1.76,1.8025,1.8457,1.0627,2.2075,3.3464,1.8239,1.8826,0.7668,1.2187,2.5119,1 
1.3247,2.7785,3.7366,2.2534,3.004,2.3636,2.1977,3.132,2.7389,2.1555,4.2718,0.7695,3.0355,3.6903,1.2818,0.9653,2.3252,1.8772,0.9017,1 
2.0392,2.6125,1.6631,2.1229,3.5148,2.0545,2.3368,0.9429,2.3813,0.82,2.3004,1.3788,2.3265,1.0321,2.2801,3.2343,1.8934,2.3971,2.3696,1 
2.427,1.8282,2.3255,2.0271,2.0964,0.9562,3.4522,3.3241,3.0228,3.0729,2.745,0.6347,1.7141,0.4869,4.236,2.8693,1.6135,2.9776,2.953,1 
2.1329,1.8666,1.9296,1.4664,2.1591,3.1355,1.4951,3.0334,0.6357,2.2571,2.5507,1.4792,1.4955,3.1316,3.3687,0.2381,1.523,0.9093,2.3902,1 
3.8686,2.3755,2.1621,2.5444,1.1953,3.5812,3.7792,2.6566,1.2455,-0.9273,2.4239,3.2295,1.5066,0.9481,2.4432,2.952,1.618,1.7636,3.4093,1 
2.6777,3.7564,2.155,2.3303,2.5062,3.1069,-0.9929,2.8278,2.3031,3.0697,3.5479,0.7717,1.2999,2.6034,2.8507,2.0903,2.4597,2.8096,3.1778,1 
1.7324,1.4679,0.5966,2.033,1.5391,1.9608,2.3748,1.5654,1.938,1.7773,1.9945,1.5414,2.3065,2.8435,2.3644,2.8488,2.139,3.0732,1.4516,1 
1.3989,1.8125,0.2241,2.2003,3.1311,3.4517,1.5969,1.6635,1.7867,1.0086,3.0143,1.5115,2.8839,2.3148,2.5474,2.5207,2.4683,4.0279,3.4341,1 
0.7485,2.7245,1.9721,4.0442,1.9069,1.9419,3.4759,1.928,2.0648,1.6268,1.2926,2.7936,2.7908,2.0945,1.6559,0.865,1.6526,2.4381,1.6301,1 
