Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Class
-0.4942,0.2754,1.1553,2.7109,1.7705,1.7352,2.2578,1.7151,0.1921,2.9399,2.7358,2.4776,2.953,2.6047,2.7836,1.9888,1.0627,2.3531,1.7579,2.2495,2.0226,1.2412,2.1967,1.4023,3.3555,0.6685,0.6674,1.6833,2.0048,0.9903,0 
0.8947,0.5762,2.6388,2.603,0.3061,2.0011,0.9474,2.3668,2.0856,3.5315,2.3953,0.4119,2.6229,2.4923,2.1185,1.8577,1.099,1.2686,1.5506,2.6842,1.9257,1.726,1.0964,3.611,2.8573,2.6116,2.4481,4.2066,3.7177,2.8492,0 
-0.8734,1.0673,1.3246,1.4441,1.8013,1.4585,-0.4133,2.764,2.2572,1.935,3.6428,2.0701,1.1695,4.6737,1.5942,-0.1821,2.709,1.5389,1.5381,2.2191,0.6201,1.7097,2.9419,3.7087,1.3866,1.9262,0.3295,2.4393,1.2521,1.1252,0 
0.4536,-0.4947,1.9332,2.174,2.2862,1.531,1.779,0.3508,2.597,1.308,1.2671,1.6437,1.6878,2.8316,2.5138,3.0366,3.8665,4.9017,2.1594,2.1551,1.6781,1.989,0.6566,2.4995,2.7447,2.3375,1.8873,1.6983,0.9664,1.2185,0 
0.0741,0.5139,0.9555,2.6496,3.8134,2.7531,2.6085,2.0535,1.4976,1.3582,2.375,2.0595,0.6431,1.4514,2.0588,2.2286,3.646,0.8987,2.4309,2.8931,2.8958,2.0652,1.1323,0.7406,0.1973,1.9224,0.978,3.5842,1.9526,2.7046,0 
-2.9604,0.1682,2.7552,0.4998,1.6716,3.3726,1.5834,1.9943,-0.2932,4.3313,-0.477,2.0157,-0.4544,3.9142,2.0097,2.7592,2.468,2.816,1.7615,1.9951,3.6255,3.0456,2.8543,0.8153,1.6843,0.1387,2.2247,0.4056,2.2562,1.3015,0 
0.9021,-0.6764,3.8467,0.9791,0.3402,1.0721,0.8234,2.638,3.8688,0.3484,1.7335,0.8164,3.3891,2.2297,2.3223,0.6572,3.2432,3.8065,5.2144,1.8684,0.4535,1.4871,0.9132,2.3776,0.9475,1.359,2.4867,1.7156,1.3972,2.4557,0 
-1.2119,-1.5646,3.417,1.6059,0.4151,2.8064,2.4288,3.8167,1.404,0.9049,0.8873,2.7515,1.4995,1.6356,2.3319,0.5778,1.3928,3.9953,2.5302,1.3153,3.7955,2.4204,1.5168,1.2332,2.6096,1.9532,2.5952,1.4549,1.5223,0.9986,0 
1.1966,1.0842,1.0329,2.9746,2.8227,1.828,0.8404,3.0042,0.3072,2.3491,0.9331,0.3987,2.653,2.2423,-0.0217,2.2727,0.9224,2.1608,3.1716,-0.7009,2.4958,1.3809,5.6239,3.5312,3.4246,1.607,0.6785,2.2708,0.7279,2.3109,0 
-0.3245,-0.1618,3.4156,1.2963,1.6828,3.3382,0.9276,1.507,1.6702,2.6209,2.6103,0.689,2.5651,2.2287,2.1462,1.8933,3.7607,1.8898,1.9796,1.169,1.9349,2.4951,0.5312,1.9892,1.4479,2.9478,2.4471,0.6467,0.5365,2.3613,0 
-0.9834,1.1268,1.4327,3.0037,0.3429,1.6184,0.3429,2.5839,3.8146,0.9825,1.3253,3.0677,1.2525,3.0076,2.0611,3.1671,1.2117,0.6873,3.0861,0.992,1.82,0.7513,2.576,3.8832,3.7505,1.5865,2.0582,1.6994,1.0956,2.2081,0 
0.0642,0.9021,2.3359,1.4571,0.7614,2.0196,0.6149,4.6684,1.9065,2.2838,2.1719,3.7433,4.0526,1.7879,2.1111,0.8929,2.0822,2.1121,3.6204,2.6736,3.0324,2.3561,1.3417,2.1284,1.2725,0.8134,2.0664,2.3315,2.5704,0.9623,0 
-0.8803,2.2231,0.7469,2.5276,3.3645,2.0928,1.2684,3.3634,3.2121,2.4526,3.0993,0.8566,2.9996,2.0376,1.3917,0.045,1.3727,1.9311,2.1927,0.2606,1.9217,2.2601,3.2329,-0.4164,3.1961,2.3214,2.0596,1.779,2.6579,2.3756,0 
1.6869,0.3067,2.1625,1.1392,2.8931,2.9358,1.7415,0.8259,3.6184,1.298,2.7332,3.1945,2.3571,1.8251,1.215,2.9457,0.7607,1.7778,3.3709,1.4092,0.2067,1.716,1.1554,2.1328,1.0568,3.8495,-0.0216,1.3704,3.1981,0.8586,0 
1.159,-1.5424,1.7093,2.0176,3.1569,3.0677,3.2164,2.4817,1.719,0.9412,1.0684,2.9928,0.5596,0.7521,1.3026,2.4555,3.9112,2.9339,2.3775,4.2139,3.8419,1.6626,2.8413,3.5997,1.5924,1.4824,1.2929,3.9221,3.732,1.5932,0 
0.1553,0.0581,1.0731,1.7852,2.1292,1.9053,1.879,2.0602,2.3849,1.0311,2.5724,0.8322,2.7387,1.8122,2.1342,2.096,3.7035,3.0777,3.0305,1.8054,2.0317,1.9829,1.7611,1.777,1.4296,1.7302,1.5475,2.866,0.4877,3.6094,0 
-1.3844,-0.7644,3.2955,2.5096,2.8836,3.5371,0.4649,2.1413,1.2771,2.0081,0.8956,1.7367,3.6206,0.9684,1.5752,0.6179,2.2324,2.7191,2.841,2.6982,1.5427,1.3559,2.4337,1.8925,4.1905,2.3565,1.4362,1.0517,2.7493,2.2035,0 
-0.5532,-1.0792,1.8124,2.8212,2.3106,2.9116,1.9698,2.6469,0.8087,1.5979,0.9438,4.5033,2.0355,2.716,0.4884,0.6014,1.3771,1.7517,2.0345,3.2101,0.2097,1.2614,2.184,2.2873,1.2926,1.7871,1.5958,1.5226,1.6059,3.6005,0 
0.6826,0.2218,2.8427,0.3239,2.7911,1.8961,3.2678,1.9928,2.7617,2.3418,4.1813,0.7121,2.9328,2.0665,1.1825,2.898,1.8182,2.2806,1.1921,2.9111,0.8892,2.1744,2.5545,2.1215,0.7305,1.8669,1.1702,0.5922,2.1854,2.0726,0 
-1.274,0.5187,1.0942,2.3133,1.4524,1.5237,1.7673,1.5633,1.4839,2.2051,1.2721,3.6566,2.6928,2.5278,2.464,0.5813,1.7202,0.5632,0.8964,1.9305,0.1078,1.837,2.5533,1.0941,1.1826,3.2848,1.4187,2.7962,0.4146,2.8402,0 
-2.0861,0.7219,2.2405,2.6249,2.8417,3.2618,2.8251,-0.8077,2.8068,2.4663,2.3302,0.8711,0.7572,2.6634,3.452,2.1412,1.9164,1.0775,2.2636,4.118,2.4343,1.9492,2.5965,1.8255,1.0641,1.8829,2.3717,0.3017,1.6647,0.8382,0 
0.2596,2.1643,2.377,3.4604,1.6062,2.1667,0.8546,2.4818,3.2976,0.8807,2.9438,1.8577,0.4167,2.6793,1.2221,2.6211,1.6804,3.1279,1.6569,1.491,1.7256,0.5152,2.5778,0.5877,1.3771,-0.4583,-0.0037,3.076,1.9636,0.9547,0 
-0.4108,1.0143,1.1623,1.0428,1.4726,1.7956,1.6514,2.9678,1.9078,3.7429,1.3552,1.8422,0.8935,1.8539,2.4192,2.6605,2.0757,1.5652,2.2401,1.9054,3.2361,0.3165,1.7215,0.643,2.4656,4.6677,1.7647,0.1833,2.8875,2.9893,0 
-0.1736,-0.4627,3.1152,2.8446,2.4581,5.4607,2.7397,1.5556,1.5152,1.2125,1.4554,3.1137,3.0261,1.3554,2.3018,2.4961,2.7234,0.0168,1.3443,2.7256,2.7528,0.6158,0.7753,1.8196,1.1775,1.9114,2.9476,1.5381,2.7393,3.0165,0 
-1.6083,0.1211,0.4685,2.4408,2.4353,1.6248,1.8164,0.8674,1.0835,3.5591,0.6582,0.8425,1.3571,1.9833,3.4594,2.6514,-0.1703,3.4478,1.7777,0.7625,2.4065,2.5341,1.9265,1.2955,1.0982,2.2306,2.704,3.4538,0.4696,1.505,0 
-1.0993,-2.113,2.6847,2.638,2.9667,3.1903,1.6055,3.0356,-1.0165,2.2353,1.2553,2.6682,3.3953,1.3134,0.1805,3.6353,1.0585,1.0082,2.2275,2.762,2.6589,2.8208,2.8545,2.9143,2.6868,2.3332,0.2385,2.621,3.2061,2.2135,0 
-0.0598,-1.6456,1.1809,0.4419,2.0586,2.1871,4.2808,0.9105,3.1824,2.6015,1.7153,1.7825,3.7362,3.8732,1.7319,2.5293,0.3207,1.6987,2.3634,2.6389,3.7306,1.719,3.0198,1.2811,1.169,-0.1744,0.462,1.2039,3.0393,1.8516,0 
-0.4152,-0.3089,2.4264,1.3486,1.1895,0.343,1.6519,1.2984,2.2328,1.9401,2.5133,-0.2115,2.8088,2.9961,3.6106,2.9809,2.1469,1.0082,3.2654,2.3843,3.3807,1.7045,1.7969,2.1362,0.0311,2.8082,2.8171,3.8693,3.3259,1.7883,0 
0.8683,0.7259,1.8936,1.5761,2.0411,1.8002,2.6073,1.5248,2.0384,1.6582,3.1975,0.9039,3.1719,1.7148,0.5017,1.4414,0.5722,1.2265,1.795,2.5526,1.1802,2.4299,0.6123,2.698,0.6733,1.2915,1.6235,2.0491,2.6993,3.2465,0 
-0.4742,1.5394,3.673,2.1643,2.286,3.4979,2.6063,1.7104,1.4571,2.4838,2.9803,0.5778,2.0771,0.5993,2.017,2.262,2.0128,2.5761,1.1005,2.7874,1.5174,3.0493,2.0408,1.8952,2.4875,1.6008,2.32,2.0447,1.1462,0.0627,0 
0.2048,-0.0735,1.5304,2.3274,1.781,2.3404,2.361,1.4461,2.3636,1.4949,3.1877,2.8,0.1468,2.4272,2.7376,3.1847,2.4226,1.2416,1.9458,2.3772,2.7347,1.999,3.0446,3.4982,3.015,1.1452,1.6574,2.8733,2.5811,2.2242,0 
-0.6619,-0.485,2.2439,1.0701,3.3341,0.653,3.0425,2.2999,1.2492,3.1808,1.7528,1.9591,1.5006,2.1112,2.9964,3.8658,5.4608,2.08,1.2841,2.1517,1.6645,1.9699,2.0864,3.0079,2.4239,2.7487,2.7942,3.7469,3.204,3.1612,0 
1.3504,1.4906,1.6268,1.3732,1.533,1.3274,1.3841,3.4815,1.9419,3.4921,1.3155,2.9634,2.2507,1.1863,2.6322,0.6586,0.614,1.5871,3.1661,1.5633,2.2819,3.1856,1.615,0.6274,2.8096,1.5212,1.2014,3.8695,4.6803,1.6611,0 
0.957,0.4027,3.0671,0.6498,1.6755,0.5454,0.894,2.5406,2.8836,1.4899,3.089,2.0424,2.2954,2.8081,0.9288,-0.1028,3.7794,2.8671,3.5371,1.3663,1.2183,2.4663,0.7365,2.2089,3.9594,1.9282,1.6699,0.345,0.6298,3.1191,0 
0.5955,0.7482,2.3828,1.0711,3.7024,2.078,2.2272,1.1241,2.3143,2.6056,0.8848,2.1245,2.3228,2.4741,1.5074,3.471,1.9583,2.0246,1.6552,1.4582,2.2392,2.4571,1.273,2.6681,3.2396,1.3845,2.8464,1.8321,2.4739,2.7041,0 
0.995,-2.718,1.8547,3.754,2.5829,2.0829,2.4851,2.3554,1.8272,2.5012,-0.0044,2.6915,3.7372,0.8117,0.1838,3.1227,1.7733,2.8883,3.2599,1.8466,-0.7456,2.4255,2.6192,0.0887,3.0278,2.2089,3.1351,2.7543,-0.2042,2.6423,0 
-1.3121,-0.246,2.0526,1.4557,2.5575,2.3571,2.5974,1.31,1.5446,2.3083,0.6743,1.7989,0.8903,1.7211,2.0933,0.534,3.5072,2.088,2.8288,2.1788,0.6129,2.6681,2.1429,1.5598,1.2641,3.0777,1.6315,0.6905,1.6943,2.845,0 
-0.1154,-1.099,2.4331,2.5211,1.1928,1.1968,1.8332,2.6912,2.8218,3.0819,1.3678,2.6312,2.1663,2.971,1.8104,0.4354,2.1097,2.6383,2.6108,0.4075,1.0595,3.049,1.7616,2.3243,1.8702,1.7516,1.5983,3.426,-0.1998,2.1444,0 
0.5891,1.5604,3.2801,0.9265,2.9139,2.2556,1.6907,1.1858,3.4506,1.2801,2.9064,3.5654,1.1182,0.254,1.2274,3.0274,2.7282,-0.7339,4.2388,0.0495,2.0821,2.0655,1.4734,3.1235,2.8004,2.8016,2.5621,2.4924,2.1609,1.5151,0 
-0.1796,-0.2843,1.5369,0.7376,2.4121,1.6316,1.7869,0.7092,2.0005,1.6652,2.4344,2.1551,0.9177,2.5878,0.5559,1.1124,3.4818,1.8168,4.5597,3.2611,1.4447,2.2225,1.2104,1.288,0.6678,-0.2944,1.7524,2.6217,2.4054,3.7688,0 
-0.1511,1.0495,0.0576,1.6794,1.2073,1.5657,1.8348,1.0616,0.9687,0.4567,2.4705,2.5669,2.6332,2.6327,1.2441,2.1071,3.5821,1.6042,0.9439,2.8178,2.2018,3.1306,1.2779,-0.292,1.9107,2.2329,2.5811,1.087,2.1835,0.3535,0 
0.4644,-1.171,2.466,0.4786,1.4551,2.2764,2.6323,2.5978,2.0437,3.3281,1.9783,1.9668,4.3591,4.1832,2.6382,2.1372,2.9107,2.7616,1.9541,0.6078,0.8756,1.2882,1.8977,3.3378,1.4711,1.9661,1.3738,3.0467,0.9466,1.5859,0 
-0.2562,-0.2798,1.5497,3.4174,1.0509,1.6037,0.5189,2.3812,1.3128,2.1514,2.5581,1.1883,3.1456,0.3338,1.5705,2.1348,1.5033,2.6134,0.8634,-0.3776,1.0773,1.8829,2.9493,2.0933,3.092,1.707,1.4045,2.3084,1.6361,3.9345,0 
-0.8643,0.517,0.5339,3.2192,3.622,3.0875,2.2613,0.9582,3.8867,0.9237,3.2649,1.9387,3.3229,3.2225,1.1196,0.7928,2.1684,1.1599,3.5054,3.9583,1.1612,3.6966,2.2719,3.0573,2.7716,-0.6804,2.5857,0.5935,3.2633,3.1706,0 
0.1189,1.9209,1.7229,3.2213,2.1674,3.3848,3.0447,1.8618,1.6504,0.7139,2.8434,1.9219,1.7883,3.3968,1.8269,1.9576,1.7141,1.1458,1.9017,2.2737,0.1466,1.68,0.9502,2.6911,1.1505,3.0933,2.2868,-0.9648,1.4831,1.5228,0 
0.2445,-1.2913,0.1563,3.2,0.4112,3.1003,0.7545,3.2303,2.1006,0.6847,1.3904,0.8772,2.6639,0.8644,2.1033,3.1966,2.555,1.6027,-0.6602,2.6727,1.1085,3.063,1.6654,1.5955,3.1565,1.3234,2.3672,1.7884,3.5683,2.0908,0 
0.7803,-0.1874,0.8127,0.7436,1.0639,-0.1568,0.8617,0.3998,0.7017,2.61,0.5442,3.735,1.8913,1.3555,2.2577,1.5136,3.5725,0.2753,2.4276,2.5149,0.9319,2.8363,3.2138,0.4486,3.6708,1.9779,2.5515,1.3817,2.77,3.0186,0 
-0.7833,-1.1101,1.7942,0.1539,1.8359,-0.6457,0.5561,-0.2665,1.7031,1.1508,2.0226,3.8111,3.0014,3.883,2.387,0.8801,1.425,1.1786,2.2012,1.1379,1.6557,1.564,2.8359,1.0999,1.4057,1.2081,1.1599,-0.4882,3.2458,1.3397,0 
1.4847,-3.1705,1.2804,2.2089,2.547,1.4578,-0.7836,1.9785,3.4383,-0.5119,1.1535,0.584,2.051,2.9319,1.7555,2.6502,0.7891,2.1364,2.905,2.5593,2.0796,3.7368,1.6547,1.98,1.6635,3.0015,2.8431,2.6631,2.6193,3.0307,0 
0.4162,1.8927,1.3198,0.9129,3.0908,1.8925,0.8806,1.8523,2.434,1.0137,3.0505,3.0539,1.2762,1.7296,0.8917,1.9304,2.3891,1.6151,2.0137,2.553,2.1819,3.2418,0.8262,2.3638,0.5042,1.866,2.1594,2.796,2.5714,2.5272,0 
1.6729,1.236,1.9067,1.7359,1.2661,2.2059,1.7976,2.904,1.7013,1.8381,2.7706,0.7059,1.2744,1.1318,1.9302,0.7465,3.4909,1.0341,1.9362,0.9165,2.3172,0.4679,0.6404,3.0435,2.5919,2.8438,1.051,3.1154,1.84,1.2671,0 
0.1925,-0.5739,0.4894,1.0611,0.6133,1.5961,0.8126,2.234,1.3382,2.6329,2.9043,3.3855,2.3617,1.7068,1.6268,0.2669,2.8588,1.6442,1.6824,1.7517,2.3998,1.8821,2.5301,2.7735,3.3839,2.5199,0.6991,2.1483,1.4769,3.2314,0 
0.3341,0.5952,2.5843,0.3794,3.1331,1.5044,-0.1558,1.315,2.7676,1.6218,2.6356,0.9551,2.1255,2.576,3.6941,2.9511,3.7098,2.9085,2.7223,3.4715,2.2184,1.5729,2.4727,1.1491,3.3722,2.5272,2.3875,1.149,3.436,3.0397,0 
-0.1271,-0.7599,1.4196,1.6985,1.2094,1.1043,1.7432,2.0392,3.2212,0.8538,1.7153,3.6264,1.0255,2.0019,2.2881,2.2038,2.8826,2.2794,2.1346,1.7167,2.7244,3.1225,3.8421,1.4977,1.7453,3.3122,1.5411,2.389,2.2994,1.7139,0 
-1.0703,-1.3881,1.8003,1.4633,3.2983,2.7788,2.655,2.78,1.7445,3.0272,3.9162,0.3635,2.726,4.2325,1.4959,2.5624,2.2302,2.4545,-0.0225,2.6327,2.4524,0.235,2.4948,1.6574,2.7012,2.2901,2.1013,2.579,0.9001,3.8351,0 
0.7655,-0.93,1.7777,1.7119,2.5607,3.4346,1.9025,3.5978,2.4611,1.1943,1.4786,2.3374,1.8548,1.5512,0.3751,2.8453,1.7688,2.1469,0.1424,2.8747,2.3824,3.3066,2.2477,2.5957,2.0676,2.494,2.3498,4.5397,2.18,1.2735,0 
-0.3061,-0.4562,3.4974,1.3251,2.4792,1.2801,0.8667,1.7343,3.1469,1.9466,0.922,2.3804,3.0946,1.7998,1.9144,2.7088,3.309,3.0745,2.2209,3.2115,2.3602,2.6099,2.3862,3.0413,0.012,2.0637,2.1284,3.3148,3.2447,1.7983,0 
-0.7014,-1.8205,0.581,3.1427,2.9826,0.9139,1.5235,2.8312,0.3409,3.1419,1.4606,-1.13,1.9562,-0.0398,1.5524,2.2346,2.1315,1.4579,2.5474,1.2673,-0.3184,1.4519,2.87,2.4403,1.587,1.9306,2.3377,1.4651,3.3167,0.7918,0 
0.2029,-0.7985,1.105,3.2608,2.2441,1.9542,0.0942,1.4465,2.263,3.7191,1.6894,-0.3799,1.6721,1.1007,2.6517,0.7181,0.4113,0.4098,2.8504,2.2904,2.4471,2.5686,1.8593,3.0802,1.891,1.6764,0.5325,-0.235,1.3277,1.8296,0 
0.3681,0.0408,1.6689,3.1239,2.8614,1.2543,1.8712,0.6375,1.4189,1.0295,-0.3841,0.756,3.5469,0.8017,1.2786,1.9492,2.3005,2.7164,1.646,2.0007,1.3824,2.5319,0.7338,1.408,1.2497,1.4187,3.3427,2.8231,2.6059,2.3461,0 
-0.7151,0.1455,2.5743,1.9829,4.6483,0.0154,1.4267,3.1935,2.1173,0.9415,0.6119,2.8264,1.3129,1.6345,2.8624,2.3578,0.2988,3.655,1.1874,3.6715,2.2199,0.3982,2.9989,1.8979,0.649,0.0478,2.2193,3.0896,1.2479,3.6909,0 
-1.402,2.5688,2.2228,2.0113,1.6273,1.4626,2.217,1.7304,2.3717,3.7982,1.0515,1.2294,1.8892,2.2728,2.2669,2.665,1.4124,2.3649,1.6852,2.3106,2.2494,1.1523,1.9327,1.3283,3.1458,2.4636,2.1339,1.9559,0.2581,3.8256,0 
0.0121,-0.6157,2.9206,2.7111,1.8605,1.1198,0.1867,1.8892,0.7123,3.7066,1.9919,1.9519,2.0303,2.3711,0.816,1.7038,0.4324,2.2785,4.3385,1.5359,1.9345,0.247,1.9336,3.3977,1.6861,1.7125,0.3038,1.3409,1.9381,3.1531,0 
-0.3446,0.609,0.1864,1.2019,2.8415,1.7201,2.1408,3.0402,2.6434,2.7377,0.7624,1.9377,3.0261,2.2171,0.5873,1.0114,3.8271,0.6439,1.6485,0.7562,1.5733,3.2923,1.8044,1.4665,1.0871,2.3292,1.8771,1.8683,0.9126,1.9021,0 
0.7683,-1.4689,3.1636,2.7906,1.6886,2.1025,1.5555,0.7439,1.2781,1.4189,1.2107,3.1242,2.939,3.0555,3.8247,-0.3178,3.5158,2.1632,1.2997,0.6026,0.9847,2.8358,1.7592,2.9844,1.7174,1.8598,0.743,1.6914,-0.0589,2.9048,0 
-0.9842,0.271,1.7246,3.133,2.505,2.8237,3.552,2.4352,2.4626,2.2434,2.3174,2.3512,1.0759,3.3632,3.3462,1.8426,1.9384,1.7111,2.8315,2.5357,0.871,3.6433,3.0969,2.6601,0.4081,3.5749,0.6178,1.9451,1.8884,2.2331,0 
1.0661,0.8366,2.7736,3.025,3.2607,1.7284,0.5061,2.4373,1.4086,3.5726,2.6678,3.515,3.1888,1.963,2.2589,0.3298,2.4402,4.3554,2.1858,0.9095,0.9356,3.8976,2.0349,2.189,1.4999,0.6728,2.1486,3.3303,3.5402,3.1727,0 
0.7,-0.8732,2.4347,1.0283,3.5222,1.7169,1.177,2.0265,0.9536,2.4749,2.2356,4.3467,2.6801,2.3546,0.4875,2.2624,2.3136,1.5157,1.8668,0.4454,0.3735,0.3963,0.7111,2.1954,2.4087,1.5081,2.4339,2.228,3.9961,2.0009,0 
-0.7335,0.2793,2.8432,1.3085,0.675,3.7202,0.9776,2.8786,1.261,0.7948,2.4141,3.4096,0.2468,3.14,2.3019,3.0252,2.6131,2.6656,1.7188,2.0702,0.7165,2.341,4.2945,1.7606,3.448,0.6779,3.6611,1.01,3.6318,2.3574,0 
1.4704,-1.4879,3.0979,1.8211,1.9826,2.8129,3.4181,2.5951,1.4607,0.5013,2.3795,2.5799,-0.3795,2.6638,1.5442,1.0689,1.6024,0.8471,1.7769,2.5746,2.1134,4.0538,2.1203,0.7328,2.237,2.7373,2.2581,2.0783,1.5539,3.1715,0 
1.4382,-0.4185,2.1304,0.8381,2.7653,2.1526,1.3265,1.825,1.8098,2.562,2.2723,1.9554,2.0726,-0.8979,2.3469,0.8098,4.0108,0.0563,4.052,2.0721,1.7991,2.4535,3.1494,0.3165,2.8485,0.4521,1.3995,2.5426,0.6847,0.6862,0 
0.6144,0.6034,0.6983,2.1897,3.1363,3.4529,2.7194,-0.2613,2.7328,2.8405,1.3299,0.1235,2.7701,1.4439,1.3555,1.3619,3.7249,1.4522,2.7781,2.8589,2.0696,1.1487,0.9956,-0.3492,0.334,1.9304,1.3662,1.1587,3.5081,3.2538,0 
1.988,-0.1283,3.0346,1.2468,0.9719,2.073,0.9968,4.1061,2.5588,1.9436,-0.2577,4.0756,1.4784,1.7536,2.6383,3.2494,2.696,1.7164,0.8533,3.4066,1.395,2.286,4.9764,1.7727,1.5526,1.6831,2.1046,1.599,1.323,2.9083,0 
0.7486,-0.8054,2.4736,2.9937,0.1509,1.7695,1.0649,0.8621,2.1407,2.4298,2.5387,0.9707,2.5912,-0.0786,1.7983,0.3048,2.7577,2.523,1.7091,2.3561,3.1524,1.35,1.8428,-0.167,1.8645,1.6492,1.5909,3.571,1.2077,3.0772,0 
-0.6937,0.5508,1.5205,2.8428,1.8032,1.2826,2.2715,2.5653,2.0449,2.5648,2.7447,1.7821,1.8336,2.25,2.8435,0.3354,2.6436,0.1701,1.3269,1.4225,2.4757,-0.0139,2.1502,1.0109,1.6514,2.3142,1.1957,0.603,3.1176,-0.0625,0 
-1.1031,-1.2204,1.788,1.9508,1.9054,2.7783,2.1513,3.2994,1.8902,3.95,2.6185,1.3686,3.3449,1.6179,2.7282,3.1018,0.2876,2.1354,3.909,3.0682,0.8836,1.891,2.8161,1.8608,3.7289,2.6438,0.4753,1.5061,1.4499,2.3965,0 
-0.2435,-0.3025,1.9361,1.6575,1.6328,3.7691,2.743,1.5019,1.7898,2.0813,2.9237,4.2134,2.0704,3.4083,1.6523,1.2517,-0.4201,2.7835,1.3171,3.1622,1.1184,3.5659,3.3813,2.7482,1.675,2.1213,1.7481,2.1664,0.9931,2.3298,0 
1.0229,1.3606,2.8876,1.5797,3.1154,1.4907,3.2488,2.3248,2.0338,1.9838,2.6717,1.8407,1.6085,0.7445,0.2983,0.6409,3.7009,3.2219,1.9144,-0.0036,3.6751,3.4533,2.268,0.5742,0.9717,1.8358,0.5568,1.9315,2.8284,2.5114,0 
-0.0884,0.3226,1.0963,1.7726,3.3273,0.3371,1.482,2.0747,1.5633,3.1852,2.4008,2.2088,1.4205,1.2852,2.7551,2.1765,1.9046,2.4185,2.234,1.2345,2.1037,2.2454,2.9014,1.8457,2.5617,2.4863,2.4641,1.587,0.9347,0.9379,0 
-0.7022,0.3679,1.3929,0.5885,2.4557,2.4042,1.7567,0.412,2.1002,1.1635,1.2947,2.5635,1.2258,0.4891,1.9731,2.1519,1.2742,-0.1793,2.5678,3.9167,1.4523,2.4172,2.0449,-0.1071,2.2375,1.144,1.3668,1.3083,3.0052,0.2295,0 
0.7087,0.3261,2.0759,2.1642,0.5026,3.1285,1.2767,0.3823,0.9844,1.7982,2.4378,1.4004,1.9818,1.9006,1.8874,1.475,0.5837,1.6675,1.4684,1.4251,1.8844,2.7958,2.9085,1.048,0.5803,0.9514,2.2915,3.2128,2.9988,3.5443,0 
